datetime,grossload_kWh,pv_kWh,netload_kWh,netload_kW
2010-07-01 00:00:00,107.92,0.024,107.896,215.792
2010-07-01 00:30:00,96.71,0.036000000000000004,96.67399999999999,193.34799999999998
2010-07-01 01:00:00,83.088,0.032,83.056,166.112
2010-07-01 01:30:00,76.777,0.024,76.753,153.506
2010-07-01 02:00:00,70.262,0.008,70.254,140.508
2010-07-01 02:30:00,72.246,0.012,72.234,144.468
2010-07-01 03:00:00,75.406,0.018000000000000002,75.388,150.776
2010-07-01 03:30:00,72.766,0.025,72.741,145.482
2010-07-01 04:00:00,74.369,0.024,74.345,148.69
2010-07-01 04:30:00,78.703,0.013000000000000001,78.69,157.38
2010-07-01 05:00:00,84.167,0.031,84.136,168.272
2010-07-01 05:30:00,93.153,0.012,93.141,186.282
2010-07-01 06:00:00,108.4,0.024,108.376,216.752
2010-07-01 06:30:00,147.701,0.031,147.67,295.34
2010-07-01 07:00:00,179.142,0.015,179.127,358.254
2010-07-01 07:30:00,191.323,0.676,190.64700000000002,381.29400000000004
2010-07-01 08:00:00,204.599,8.778,195.821,391.642
2010-07-01 08:30:00,197.543,22.555,174.988,349.976
2010-07-01 09:00:00,178.374,40.42,137.954,275.908
2010-07-01 09:30:00,149.242,61.735,87.50699999999999,175.01399999999998
2010-07-01 10:00:00,141.556,81.553,60.003000000000014,120.00600000000003
2010-07-01 10:30:00,130.692,99.91,30.78200000000001,61.56400000000002
2010-07-01 11:00:00,131.744,100.613,31.131,62.262
2010-07-01 11:30:00,125.713,123.977,1.73599999999999,3.47199999999998
2010-07-01 12:00:00,117.156,130.121,-12.965000000000003,-25.930000000000007
2010-07-01 12:30:00,115.762,132.421,-16.658999999999992,-33.317999999999984
2010-07-01 13:00:00,107.12,128.337,-21.216999999999985,-42.43399999999997
2010-07-01 13:30:00,95.903,123.597,-27.69399999999999,-55.38799999999998
2010-07-01 14:00:00,94.837,107.517,-12.679999999999993,-25.359999999999985
2010-07-01 14:30:00,89.884,88.321,1.5630000000000024,3.1260000000000048
2010-07-01 15:00:00,91.284,61.511,29.773000000000003,59.54600000000001
2010-07-01 15:30:00,97.548,36.673,60.875,121.75
2010-07-01 16:00:00,113.321,20.519,92.80199999999999,185.60399999999998
2010-07-01 16:30:00,138.798,5.442,133.356,266.712
2010-07-01 17:00:00,191.302,0.477,190.825,381.65
2010-07-01 17:30:00,243.152,0.012,243.14,486.28
2010-07-01 18:00:00,284.594,0.049,284.545,569.09
2010-07-01 18:30:00,282.588,0.008,282.58000000000004,565.1600000000001
2010-07-01 19:00:00,268.335,0.024,268.311,536.622
2010-07-01 19:30:00,265.962,0.038,265.924,531.848
2010-07-01 20:00:00,269.152,0.049,269.103,538.206
2010-07-01 20:30:00,253.152,0.019,253.13299999999998,506.26599999999996
