datetime,netload_kW
2021-07-01 00:00:00,106.314
2021-07-01 00:30:00,103.935
2021-07-01 01:00:00,106.219
2021-07-01 01:30:00,69.108
2021-07-01 02:00:00,58.221
2021-07-01 02:30:00,48.931
2021-07-01 03:00:00,38.246
2021-07-01 03:30:00,65.024
2021-07-01 04:00:00,69.596
2021-07-01 04:30:00,78.540
2021-07-01 05:00:00,93.124
2021-07-01 05:30:00,114.927
2021-07-01 06:00:00,137.470
2021-07-01 06:30:00,147.906
2021-07-01 07:00:00,157.166
2021-07-01 07:30:00,181.254
2021-07-01 08:00:00,166.137
2021-07-01 08:30:00,153.650
2021-07-01 09:00:00,118.761
2021-07-01 09:30:00,108.554
2021-07-01 10:00:00,103.406
2021-07-01 10:30:00,79.001
2021-07-01 11:00:00,80.467
2021-07-01 11:30:00,49.429
2021-07-01 12:00:00,24.115
2021-07-01 12:30:00,-3.335
2021-07-01 13:00:00,-4.564
2021-07-01 13:30:00,46.616
2021-07-01 14:00:00,82.484
2021-07-01 14:30:00,109.251
2021-07-01 15:00:00,128.516
2021-07-01 15:30:00,147.112
2021-07-01 16:00:00,149.232
2021-07-01 16:30:00,177.233
2021-07-01 17:00:00,183.557
2021-07-01 17:30:00,192.689
2021-07-01 18:00:00,186.871
2021-07-01 18:30:00,169.649
2021-07-01 19:00:00,174.441
2021-07-01 19:30:00,184.389
2021-07-01 20:00:00,166.089
2021-07-01 20:30:00,157.419
2021-07-01 21:00:00,159.742
2021-07-01 21:30:00,170.009
2021-07-01 22:00:00,168.770
2021-07-01 22:30:00,157.037
2021-07-01 23:00:00,128.944
2021-07-01 23:30:00,114.011
2021-07-02 00:00:00,93.268
2021-07-02 00:30:00,51.626
2021-07-02 01:00:00,26.630
2021-07-02 01:30:00,13.261
2021-07-02 02:00:00,13.476
2021-07-02 02:30:00,3.051
2021-07-02 03:00:00,8.731
2021-07-02 03:30:00,5.023
2021-07-02 04:00:00,3.015
2021-07-02 04:30:00,15.989
2021-07-02 05:00:00,41.288
2021-07-02 05:30:00,70.746
2021-07-02 06:00:00,115.526
2021-07-02 06:30:00,132.909
2021-07-02 07:00:00,142.137
2021-07-02 07:30:00,143.769
2021-07-02 08:00:00,129.087
2021-07-02 08:30:00,94.854
2021-07-02 09:00:00,73.642
2021-07-02 09:30:00,45.048
2021-07-02 10:00:00,8.793
2021-07-02 10:30:00,-30.905
2021-07-02 11:00:00,-91.285
2021-07-02 11:30:00,-115.481
2021-07-02 12:00:00,-126.007
2021-07-02 12:30:00,-132.832
2021-07-02 13:00:00,-123.792
2021-07-02 13:30:00,-115.831
2021-07-02 14:00:00,-75.082
2021-07-02 14:30:00,-24.063
2021-07-02 15:00:00,26.479
2021-07-02 15:30:00,58.802
2021-07-02 16:00:00,103.102
2021-07-02 16:30:00,130.340
2021-07-02 17:00:00,145.103
2021-07-02 17:30:00,150.223
2021-07-02 18:00:00,174.604
2021-07-02 18:30:00,179.090
2021-07-02 19:00:00,170.024
2021-07-02 19:30:00,168.921
2021-07-02 20:00:00,165.036
2021-07-02 20:30:00,164.467
2021-07-02 21:00:00,167.679
2021-07-02 21:30:00,166.382
2021-07-02 22:00:00,153.567
2021-07-02 22:30:00,139.558
2021-07-02 23:00:00,121.604
2021-07-02 23:30:00,91.258
2021-07-03 00:00:00,85.274
2021-07-03 00:30:00,52.249
2021-07-03 01:00:00,30.591
2021-07-03 01:30:00,7.043
2021-07-03 02:00:00,10.988
2021-07-03 02:30:00,-2.950
2021-07-03 03:00:00,-2.551
2021-07-03 03:30:00,5.010
2021-07-03 04:00:00,26.629
2021-07-03 04:30:00,34.914
2021-07-03 05:00:00,68.291
2021-07-03 05:30:00,96.300
2021-07-03 06:00:00,112.118
2021-07-03 06:30:00,156.629
2021-07-03 07:00:00,165.974
2021-07-03 07:30:00,170.124
2021-07-03 08:00:00,157.796
2021-07-03 08:30:00,71.296
2021-07-03 09:00:00,28.253
2021-07-03 09:30:00,-24.919
2021-07-03 10:00:00,-66.245
2021-07-03 10:30:00,-92.739
2021-07-03 11:00:00,-117.947
2021-07-03 11:30:00,-147.177
2021-07-03 12:00:00,-131.368
2021-07-03 12:30:00,-126.721
2021-07-03 13:00:00,-100.519
2021-07-03 13:30:00,-101.958
2021-07-03 14:00:00,-72.804
2021-07-03 14:30:00,-21.736
2021-07-03 15:00:00,32.359
2021-07-03 15:30:00,58.555
2021-07-03 16:00:00,102.816
2021-07-03 16:30:00,148.878
2021-07-03 17:00:00,162.162
2021-07-03 17:30:00,177.808
2021-07-03 18:00:00,190.953
2021-07-03 18:30:00,189.151
2021-07-03 19:00:00,182.413
2021-07-03 19:30:00,173.775
2021-07-03 20:00:00,180.618
2021-07-03 20:30:00,182.533
2021-07-03 21:00:00,165.213
2021-07-03 21:30:00,152.841
2021-07-03 22:00:00,158.247
2021-07-03 22:30:00,134.510
2021-07-03 23:00:00,116.176
2021-07-03 23:30:00,91.019
2021-07-04 00:00:00,74.057
2021-07-04 00:30:00,29.820
2021-07-04 01:00:00,3.939
2021-07-04 01:30:00,7.819
2021-07-04 02:00:00,3.422
2021-07-04 02:30:00,-3.624
2021-07-04 03:00:00,-10.366
2021-07-04 03:30:00,5.394
2021-07-04 04:00:00,16.302
2021-07-04 04:30:00,32.676
2021-07-04 05:00:00,53.366
2021-07-04 05:30:00,92.421
2021-07-04 06:00:00,121.636
2021-07-04 06:30:00,158.665
2021-07-04 07:00:00,185.463
2021-07-04 07:30:00,163.896
2021-07-04 08:00:00,126.201
2021-07-04 08:30:00,109.743
2021-07-04 09:00:00,71.589
2021-07-04 09:30:00,25.911
2021-07-04 10:00:00,-24.422
2021-07-04 10:30:00,-76.685
2021-07-04 11:00:00,-93.234
2021-07-04 11:30:00,-115.604
2021-07-04 12:00:00,-134.190
2021-07-04 12:30:00,-134.245
2021-07-04 13:00:00,-122.733
2021-07-04 13:30:00,-109.262
2021-07-04 14:00:00,-80.632
2021-07-04 14:30:00,-52.002
2021-07-04 15:00:00,4.666
2021-07-04 15:30:00,67.908
2021-07-04 16:00:00,119.511
2021-07-04 16:30:00,176.684
2021-07-04 17:00:00,208.786
2021-07-04 17:30:00,222.394
2021-07-04 18:00:00,211.893
2021-07-04 18:30:00,204.060
2021-07-04 19:00:00,208.224
2021-07-04 19:30:00,212.951
2021-07-04 20:00:00,199.596
2021-07-04 20:30:00,203.268
2021-07-04 21:00:00,198.966
2021-07-04 21:30:00,182.502
2021-07-04 22:00:00,198.707
2021-07-04 22:30:00,174.516
2021-07-04 23:00:00,140.960
2021-07-04 23:30:00,106.523
2021-07-05 00:00:00,89.657
2021-07-05 00:30:00,56.679
2021-07-05 01:00:00,44.676
2021-07-05 01:30:00,20.750
2021-07-05 02:00:00,7.985
2021-07-05 02:30:00,25.025
2021-07-05 03:00:00,14.338
2021-07-05 03:30:00,4.971
2021-07-05 04:00:00,7.531
2021-07-05 04:30:00,26.427
2021-07-05 05:00:00,66.413
2021-07-05 05:30:00,97.963
2021-07-05 06:00:00,145.889
2021-07-05 06:30:00,165.003
2021-07-05 07:00:00,182.677
2021-07-05 07:30:00,192.654
2021-07-05 08:00:00,163.161
2021-07-05 08:30:00,137.681
2021-07-05 09:00:00,87.656
2021-07-05 09:30:00,48.288
2021-07-05 10:00:00,8.747
2021-07-05 10:30:00,-16.741
2021-07-05 11:00:00,-41.025
2021-07-05 11:30:00,-79.798
2021-07-05 12:00:00,-94.494
2021-07-05 12:30:00,-99.864
2021-07-05 13:00:00,-98.562
2021-07-05 13:30:00,-81.907
2021-07-05 14:00:00,-46.571
2021-07-05 14:30:00,-9.787
2021-07-05 15:00:00,34.903
2021-07-05 15:30:00,91.905
2021-07-05 16:00:00,137.269
