datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h
2020-07-01 00:00:00,15178.19,10.9,87.0,7.6
2020-07-01 00:30:00,14688.27,10.3,87.0,5.4
2020-07-01 01:00:00,14410.96,10.8,89.0,9.4
2020-07-01 01:30:00,14068.94,9.9,89.0,9.4
2020-07-01 02:00:00,13874.825,9.8,88.0,9.4
2020-07-01 02:30:00,13708.435,9.7,90.0,11.2
2020-07-01 03:00:00,13458.86,9.1,91.0,11.2
2020-07-01 03:30:00,13523.560000000001,9.1,92.0,11.2
2020-07-01 04:00:00,13597.515,8.4,92.0,11.2
2020-07-01 04:30:00,13652.974999999999,8.5,91.0,13.0
2020-07-01 05:00:00,14068.939999999999,8.9,90.0,9.4
2020-07-01 05:30:00,14928.605,9.0,89.0,13.0
2020-07-01 06:00:00,15806.76,9.6,87.0,16.6
2020-07-01 06:30:00,16952.98,9.2,87.0,14.8
2020-07-01 07:00:00,18247.105,9.3,85.0,16.6
2020-07-01 07:30:00,19642.9,9.2,83.0,14.8
2020-07-01 08:00:00,20696.690000000002,9.7,80.0,14.8
2020-07-01 08:30:00,21214.335,11.6,77.0,14.8
2020-07-01 09:00:00,21269.8,12.7,73.0,13.0
2020-07-01 09:30:00,21214.335,14.3,67.0,16.6
2020-07-01 10:00:00,21029.464999999997,14.7,65.0,16.6
2020-07-01 10:30:00,20872.32,15.8,59.0,14.8
2020-07-01 11:00:00,20807.61,17.8,51.0,16.6
2020-07-01 11:30:00,20650.47,18.7,45.0,16.6
2020-07-01 12:00:00,20336.184999999998,19.3,43.0,14.8
2020-07-01 12:30:00,20040.385000000002,19.7,40.0,16.6
2020-07-01 13:00:00,19929.455,20.7,39.0,13.0
2020-07-01 13:30:00,19901.73,20.7,36.0,9.4
2020-07-01 14:00:00,19661.39,21.4,36.0,11.2
2020-07-01 14:30:00,19559.71,21.7,35.0,7.6
2020-07-01 15:00:00,19282.394999999997,21.8,35.0,9.4
2020-07-01 15:30:00,19189.965,21.8,36.0,0.0
2020-07-01 16:00:00,19106.77,21.2,40.0,13.0
2020-07-01 16:30:00,19134.495000000003,20.3,43.0,11.2
2020-07-01 17:00:00,19189.96,19.5,46.0,13.0
2020-07-01 17:30:00,19596.685,17.9,52.0,13.0
2020-07-01 18:00:00,19800.045,17.5,56.0,13.0
2020-07-01 18:30:00,19522.735,17.9,52.0,11.2
2020-07-01 19:00:00,19467.275,16.9,55.0,13.0
2020-07-01 19:30:00,19134.5,17.0,54.0,13.0
2020-07-01 20:00:00,18820.215,16.5,54.0,16.6
2020-07-01 20:30:00,18487.434999999998,16.3,54.0,18.4
2020-07-01 21:00:00,18043.745,16.1,54.0,16.6
2020-07-01 21:30:00,17590.795,16.0,54.0,18.4
2020-07-01 22:00:00,17147.1,15.8,54.0,22.3
2020-07-01 22:30:00,16250.455000000002,15.3,56.0,22.3
2020-07-01 23:00:00,15705.08,15.4,56.0,20.5
2020-07-01 23:30:00,15233.65,15.4,55.0,20.5
2020-07-02 00:00:00,14743.73,15.4,55.0,20.5
2020-07-02 00:30:00,14429.445,14.6,58.0,18.4
2020-07-02 01:00:00,14013.48,14.3,60.0,18.4
2020-07-02 01:30:00,13717.68,14.0,61.0,16.6
2020-07-02 02:00:00,13431.125,13.3,64.0,13.0
2020-07-02 02:30:00,13347.93,12.6,68.0,13.0
2020-07-02 03:00:00,13079.865,12.6,68.0,9.4
2020-07-02 03:30:00,13153.815,11.4,74.0,13.0
2020-07-02 04:00:00,13089.11,11.9,72.0,9.4
2020-07-02 04:30:00,13283.224999999999,10.9,76.0,7.6
2020-07-02 05:00:00,13652.975,11.3,78.0,9.4
2020-07-02 05:30:00,14327.765,11.4,74.0,14.8
2020-07-02 06:00:00,15159.7,12.0,76.0,9.4
2020-07-02 06:30:00,16379.869999999999,12.6,71.0,22.3
2020-07-02 07:00:00,17516.85,13.5,69.0,20.5
2020-07-02 07:30:00,18746.260000000002,13.7,68.0,16.6
2020-07-02 08:00:00,19883.239999999998,15.3,62.0,20.5
2020-07-02 08:30:00,19947.945,16.5,58.0,20.5
2020-07-02 09:00:00,19864.754999999997,18.3,51.0,20.5
2020-07-02 09:30:00,19800.05,19.5,47.0,20.5
2020-07-02 10:00:00,19772.315000000002,20.5,44.0,25.9
2020-07-02 10:30:00,19596.69,20.7,43.0,25.9
2020-07-02 11:00:00,19864.755,21.4,41.0,24.1
2020-07-02 11:30:00,19624.415,22.1,40.0,27.7
2020-07-02 12:00:00,19698.364999999998,22.1,37.0,31.3
2020-07-02 12:30:00,19384.08,23.4,35.0,35.3
2020-07-02 13:00:00,19550.465,23.2,34.0,29.5
2020-07-02 13:30:00,19421.055,24.0,34.0,25.9
2020-07-02 14:00:00,19661.395,23.8,34.0,27.7
2020-07-02 14:30:00,19531.98,23.5,34.0,33.5
2020-07-02 15:00:00,19106.77,23.4,35.0,31.3
2020-07-02 15:30:00,18958.870000000003,23.0,36.0,31.3
2020-07-02 16:00:00,18894.165,22.8,37.0,27.7
2020-07-02 16:30:00,18783.239999999998,22.1,41.0,18.4
2020-07-02 17:00:00,18672.315,21.5,42.0,20.5
2020-07-02 17:30:00,18866.434999999998,21.3,44.0,20.5
2020-07-02 18:00:00,18958.87,21.3,45.0,18.4
2020-07-02 18:30:00,18579.875,20.2,47.0,18.4
2020-07-02 19:00:00,18265.59,20.1,48.0,18.4
2020-07-02 19:30:00,17886.595,19.5,50.0,16.6
2020-07-02 20:00:00,17405.925000000003,19.0,51.0,14.8
2020-07-02 20:30:00,17276.510000000002,18.7,53.0,14.8
2020-07-02 21:00:00,17184.075,18.8,53.0,14.8
2020-07-02 21:30:00,16740.375,18.7,53.0,14.8
2020-07-02 22:00:00,16194.994999999999,18.8,54.0,11.2
2020-07-02 22:30:00,15760.545,17.7,56.0,11.2
2020-07-02 23:00:00,15409.285,16.0,73.0,14.8
2020-07-02 23:30:00,14873.145,16.0,77.0,9.4
2020-07-03 00:00:00,14429.449999999999,16.0,75.0,11.2
2020-07-03 00:30:00,14189.11,16.1,63.0,13.0
2020-07-03 01:00:00,13800.875,15.8,68.0,14.8
2020-07-03 01:30:00,13421.885,15.1,66.0,14.8
2020-07-03 02:00:00,13089.105,14.7,63.0,11.2
2020-07-03 02:30:00,12904.23,14.0,64.0,9.4
2020-07-03 03:00:00,12811.8,13.6,64.0,9.4
2020-07-03 03:30:00,12811.8,13.3,61.0,13.0
2020-07-03 04:00:00,12904.235,13.1,58.0,13.0
