datetime,netload_kW
2010-07-01 00:00:00,106.446
2010-07-01 00:30:00,107.454
2010-07-01 01:00:00,97.336
2010-07-01 01:30:00,89.238
2010-07-01 02:00:00,81.964
2010-07-01 02:30:00,85.35
2010-07-01 03:00:00,83.982
2010-07-01 03:30:00,80.546
2010-07-01 04:00:00,79.128
2010-07-01 04:30:00,80.778
2010-07-01 05:00:00,87.064
2010-07-01 05:30:00,99.462
2010-07-01 06:00:00,114.38
2010-07-01 06:30:00,149.18
2010-07-01 07:00:00,171.416
2010-07-01 07:30:00,190.23000000000002
2010-07-01 08:00:00,204.86200000000002
2010-07-01 08:30:00,170.254
2010-07-01 09:00:00,121.742
2010-07-01 09:30:00,96.76
2010-07-01 10:00:00,81.532
2010-07-01 10:30:00,55.396
2010-07-01 11:00:00,49.108000000000004
2010-07-01 11:30:00,48.086
2010-07-01 12:00:00,29.646
2010-07-01 12:30:00,16.557999999999993
2010-07-01 13:00:00,-0.5859999999999985
2010-07-01 13:30:00,-4.885999999999996
2010-07-01 14:00:00,-2.0219999999999914
2010-07-01 14:30:00,17.162000000000006
2010-07-01 15:00:00,48.872
2010-07-01 15:30:00,83.892
2010-07-01 16:00:00,115.54599999999999
2010-07-01 16:30:00,155.002
2010-07-01 17:00:00,201.304
2010-07-01 17:30:00,250.304
2010-07-01 18:00:00,300.392
2010-07-01 18:30:00,297.448
2010-07-01 19:00:00,284.836
2010-07-01 19:30:00,288.53
2010-07-01 20:00:00,300.986
2010-07-01 20:30:00,283.65999999999997
2010-07-01 21:00:00,276.094
2010-07-01 21:30:00,242.33
2010-07-01 22:00:00,220.17399999999998
2010-07-01 22:30:00,196.248
2010-07-01 23:00:00,167.342
2010-07-01 23:30:00,127.69
2010-07-02 00:00:00,154.244
2010-07-02 00:30:00,93.432
2010-07-02 01:00:00,97.578
2010-07-02 01:30:00,86.61
2010-07-02 02:00:00,81.066
2010-07-02 02:30:00,80.54
2010-07-02 03:00:00,74.94200000000001
2010-07-02 03:30:00,75.854
2010-07-02 04:00:00,72.956
2010-07-02 04:30:00,78.242
2010-07-02 05:00:00,80.334
2010-07-02 05:30:00,93.7
2010-07-02 06:00:00,102.756
2010-07-02 06:30:00,129.898
2010-07-02 07:00:00,147.734
2010-07-02 07:30:00,162.498
2010-07-02 08:00:00,186.546
2010-07-02 08:30:00,173.344
2010-07-02 09:00:00,152.82399999999998
2010-07-02 09:30:00,147.166
2010-07-02 10:00:00,134.252
2010-07-02 10:30:00,135.368
2010-07-02 11:00:00,132.338
2010-07-02 11:30:00,129.79000000000002
2010-07-02 12:00:00,124.12
2010-07-02 12:30:00,125.37400000000001
2010-07-02 13:00:00,129.33599999999998
2010-07-02 13:30:00,142.43200000000002
2010-07-02 14:00:00,137.024
2010-07-02 14:30:00,124.262
2010-07-02 15:00:00,138.82600000000002
2010-07-02 15:30:00,147.138
2010-07-02 16:00:00,171.954
2010-07-02 16:30:00,214.536
2010-07-02 17:00:00,243.77599999999998
2010-07-02 17:30:00,306.436
2010-07-02 18:00:00,319.49
2010-07-02 18:30:00,302.158
2010-07-02 19:00:00,303.86
2010-07-02 19:30:00,297.294
2010-07-02 20:00:00,296.476
2010-07-02 20:30:00,325.906
2010-07-02 21:00:00,316.868
2010-07-02 21:30:00,278.422
2010-07-02 22:00:00,244.792
2010-07-02 22:30:00,220.166
2010-07-02 23:00:00,194.244
2010-07-02 23:30:00,176.94
2010-07-03 00:00:00,127.48
2010-07-03 00:30:00,131.728
2010-07-03 01:00:00,111.064
2010-07-03 01:30:00,100.722
2010-07-03 02:00:00,94.728
2010-07-03 02:30:00,86.01
2010-07-03 03:00:00,83.376
2010-07-03 03:30:00,76.966
2010-07-03 04:00:00,74.534
2010-07-03 04:30:00,68.91799999999999
2010-07-03 05:00:00,72.506
2010-07-03 05:30:00,85.094
2010-07-03 06:00:00,91.458
2010-07-03 06:30:00,97.232
2010-07-03 07:00:00,113.47
2010-07-03 07:30:00,145.696
2010-07-03 08:00:00,166.24
2010-07-03 08:30:00,160.306
2010-07-03 09:00:00,137.836
2010-07-03 09:30:00,101.13799999999999
2010-07-03 10:00:00,80.352
2010-07-03 10:30:00,58.006
2010-07-03 11:00:00,39.708
2010-07-03 11:30:00,32.768000000000015
2010-07-03 12:00:00,20.656000000000006
2010-07-03 12:30:00,24.798000000000002
2010-07-03 13:00:00,26.829999999999984
2010-07-03 13:30:00,29.29400000000001
2010-07-03 14:00:00,39.358000000000004
2010-07-03 14:30:00,51.94
2010-07-03 15:00:00,70.342
2010-07-03 15:30:00,102.672
2010-07-03 16:00:00,148.596
2010-07-03 16:30:00,182.678
2010-07-03 17:00:00,217.75
2010-07-03 17:30:00,265.45
2010-07-03 18:00:00,301.492
2010-07-03 18:30:00,291.12
2010-07-03 19:00:00,281.176
2010-07-03 19:30:00,278.502
2010-07-03 20:00:00,308.39799999999997
2010-07-03 20:30:00,284.906
2010-07-03 21:00:00,272.012
2010-07-03 21:30:00,250.09
2010-07-03 22:00:00,235.814
2010-07-03 22:30:00,220.12
2010-07-03 23:00:00,190.348
2010-07-03 23:30:00,153.38
2010-07-04 00:00:00,114.642
2010-07-04 00:30:00,115.658
2010-07-04 01:00:00,104.794
2010-07-04 01:30:00,99.016
2010-07-04 02:00:00,99.422
2010-07-04 02:30:00,82.438
2010-07-04 03:00:00,78.776
2010-07-04 03:30:00,76.086
2010-07-04 04:00:00,80.47
2010-07-04 04:30:00,77.252
2010-07-04 05:00:00,75.848
2010-07-04 05:30:00,85.756
2010-07-04 06:00:00,95.97
2010-07-04 06:30:00,112.354
2010-07-04 07:00:00,120.324
2010-07-04 07:30:00,130.248
2010-07-04 08:00:00,146.272
2010-07-04 08:30:00,145.574
2010-07-04 09:00:00,126.356
2010-07-04 09:30:00,99.586
2010-07-04 10:00:00,85.16
2010-07-04 10:30:00,63.012
2010-07-04 11:00:00,34.878
2010-07-04 11:30:00,22.795999999999992
2010-07-04 12:00:00,31.171999999999997
2010-07-04 12:30:00,42.44199999999999
2010-07-04 13:00:00,45.062
2010-07-04 13:30:00,40.97800000000001
2010-07-04 14:00:00,55.10000000000001
2010-07-04 14:30:00,76.54599999999999
2010-07-04 15:00:00,91.80199999999999
2010-07-04 15:30:00,113.722
2010-07-04 16:00:00,154.454
2010-07-04 16:30:00,185.81
2010-07-04 17:00:00,216.44199999999998
2010-07-04 17:30:00,259.592
2010-07-04 18:00:00,288.066
2010-07-04 18:30:00,283.348
2010-07-04 19:00:00,287.466
2010-07-04 19:30:00,277.25
2010-07-04 20:00:00,282.868
2010-07-04 20:30:00,257.938
2010-07-04 21:00:00,252.054
2010-07-04 21:30:00,239.694
2010-07-04 22:00:00,218.388
2010-07-04 22:30:00,179.284
2010-07-04 23:00:00,146.216
2010-07-04 23:30:00,138.366
2010-07-05 00:00:00,94.688
2010-07-05 00:30:00,94.612
2010-07-05 01:00:00,96.314
2010-07-05 01:30:00,84.748
2010-07-05 02:00:00,75.648
2010-07-05 02:30:00,73.582
2010-07-05 03:00:00,76.542
2010-07-05 03:30:00,71.934
2010-07-05 04:00:00,68.826
2010-07-05 04:30:00,69.33
2010-07-05 05:00:00,78.648
2010-07-05 05:30:00,77.26
2010-07-05 06:00:00,83.242
2010-07-05 06:30:00,104.962
2010-07-05 07:00:00,123.748
2010-07-05 07:30:00,136.55
2010-07-05 08:00:00,143.544
2010-07-05 08:30:00,154.88
2010-07-05 09:00:00,162.64399999999998
2010-07-05 09:30:00,151.94
2010-07-05 10:00:00,132.566
2010-07-05 10:30:00,131.80599999999998
2010-07-05 11:00:00,112.53
2010-07-05 11:30:00,112.614
2010-07-05 12:00:00,107.436
2010-07-05 12:30:00,114.25199999999998
2010-07-05 13:00:00,141.524
2010-07-05 13:30:00,138.58
2010-07-05 14:00:00,145.894
2010-07-05 14:30:00,130.004
2010-07-05 15:00:00,142.446
2010-07-05 15:30:00,141.32399999999998
2010-07-05 16:00:00,154.43200000000002
2010-07-05 16:30:00,188.548
2010-07-05 17:00:00,202.082
2010-07-05 17:30:00,247.682
2010-07-05 18:00:00,273.226
2010-07-05 18:30:00,263.506
2010-07-05 19:00:00,260.596
2010-07-05 19:30:00,248.646
2010-07-05 20:00:00,237.614
2010-07-05 20:30:00,265.212
2010-07-05 21:00:00,242.14
2010-07-05 21:30:00,221.81
2010-07-05 22:00:00,200.932
2010-07-05 22:30:00,156.552
2010-07-05 23:00:00,139.866
2010-07-05 23:30:00,121.976
2010-07-06 00:00:00,120.806
2010-07-06 00:30:00,75.352
2010-07-06 01:00:00,71.574
2010-07-06 01:30:00,70.484
2010-07-06 02:00:00,65.146
2010-07-06 02:30:00,67.428
2010-07-06 03:00:00,70.44
2010-07-06 03:30:00,64.174
2010-07-06 04:00:00,68.39999999999999
2010-07-06 04:30:00,69.648
2010-07-06 05:00:00,71.892
2010-07-06 05:30:00,80.65599999999999
2010-07-06 06:00:00,89.53999999999999
2010-07-06 06:30:00,117.16
2010-07-06 07:00:00,130.204
2010-07-06 07:30:00,146.948
2010-07-06 08:00:00,158.414
2010-07-06 08:30:00,140.296
2010-07-06 09:00:00,105.15599999999999
2010-07-06 09:30:00,101.85799999999999
2010-07-06 10:00:00,99.25
2010-07-06 10:30:00,84.138
2010-07-06 11:00:00,53.769999999999996
2010-07-06 11:30:00,44.732
2010-07-06 12:00:00,10.975999999999999
2010-07-06 12:30:00,-7.646000000000001
2010-07-06 13:00:00,-5.221999999999994
2010-07-06 13:30:00,14.519999999999996
2010-07-06 14:00:00,35.05199999999999
2010-07-06 14:30:00,74.566
2010-07-06 15:00:00,97.932
2010-07-06 15:30:00,118.214
2010-07-06 16:00:00,138.46800000000002
2010-07-06 16:30:00,174.296
2010-07-06 17:00:00,195.99
2010-07-06 17:30:00,233.616
2010-07-06 18:00:00,244.992
2010-07-06 18:30:00,248.942
2010-07-06 19:00:00,251.724
2010-07-06 19:30:00,241.826
2010-07-06 20:00:00,246.04
2010-07-06 20:30:00,241.176
2010-07-06 21:00:00,229.734
2010-07-06 21:30:00,222.276
2010-07-06 22:00:00,214.16
2010-07-06 22:30:00,190.774
2010-07-06 23:00:00,164.82
2010-07-06 23:30:00,127.12
2010-07-07 00:00:00,107.388
2010-07-07 00:30:00,87.614
2010-07-07 01:00:00,83.694
2010-07-07 01:30:00,75.286
2010-07-07 02:00:00,69.502
2010-07-07 02:30:00,67.208
2010-07-07 03:00:00,63.782000000000004
2010-07-07 03:30:00,66.94
2010-07-07 04:00:00,71.52
2010-07-07 04:30:00,69.832
2010-07-07 05:00:00,72.918
2010-07-07 05:30:00,67.244
2010-07-07 06:00:00,70.86
2010-07-07 06:30:00,94.298
2010-07-07 07:00:00,108.046
2010-07-07 07:30:00,104.822
2010-07-07 08:00:00,120.34200000000001
2010-07-07 08:30:00,122.016
2010-07-07 09:00:00,131.048
2010-07-07 09:30:00,108.594
2010-07-07 10:00:00,101.64999999999999
2010-07-07 10:30:00,93.572
2010-07-07 11:00:00,100.868
2010-07-07 11:30:00,110.81600000000002
2010-07-07 12:00:00,112.95800000000001
2010-07-07 12:30:00,107.494
2010-07-07 13:00:00,98.594
2010-07-07 13:30:00,99.922
2010-07-07 14:00:00,93.566
2010-07-07 14:30:00,86.968
2010-07-07 15:00:00,87.544
2010-07-07 15:30:00,104.244
2010-07-07 16:00:00,124.36200000000001
2010-07-07 16:30:00,147.148
2010-07-07 17:00:00,172.608
2010-07-07 17:30:00,219.328
2010-07-07 18:00:00,251.378
2010-07-07 18:30:00,255.082
2010-07-07 19:00:00,255.706
2010-07-07 19:30:00,261.144
2010-07-07 20:00:00,256.762
2010-07-07 20:30:00,252.65
2010-07-07 21:00:00,251.274
2010-07-07 21:30:00,234.806
2010-07-07 22:00:00,219.884
2010-07-07 22:30:00,205.536
2010-07-07 23:00:00,185.85999999999999
2010-07-07 23:30:00,134.31
2010-07-08 00:00:00,117.976
2010-07-08 00:30:00,92.606
2010-07-08 01:00:00,83.138
2010-07-08 01:30:00,79.14
2010-07-08 02:00:00,72.862
2010-07-08 02:30:00,68.998
2010-07-08 03:00:00,70.586
2010-07-08 03:30:00,69.65400000000001
2010-07-08 04:00:00,69.318
2010-07-08 04:30:00,73.706
2010-07-08 05:00:00,78.62
2010-07-08 05:30:00,90.05199999999999
2010-07-08 06:00:00,93.384
2010-07-08 06:30:00,112.2
2010-07-08 07:00:00,128.556
2010-07-08 07:30:00,136.144
2010-07-08 08:00:00,156.464
2010-07-08 08:30:00,135.754
2010-07-08 09:00:00,113.948
2010-07-08 09:30:00,106.316
2010-07-08 10:00:00,77.76400000000001
2010-07-08 10:30:00,82.54400000000001
2010-07-08 11:00:00,75.75800000000001
2010-07-08 11:30:00,76.41000000000001
2010-07-08 12:00:00,61.897999999999996
2010-07-08 12:30:00,70.48
2010-07-08 13:00:00,86.562
2010-07-08 13:30:00,86.798
2010-07-08 14:00:00,114.132
2010-07-08 14:30:00,113.75199999999998
2010-07-08 15:00:00,126.60400000000001
2010-07-08 15:30:00,144.372
2010-07-08 16:00:00,163.86200000000002
2010-07-08 16:30:00,178.328
2010-07-08 17:00:00,193.76
2010-07-08 17:30:00,237.326
2010-07-08 18:00:00,258.312
2010-07-08 18:30:00,272.644
2010-07-08 19:00:00,275.586
2010-07-08 19:30:00,275.162
2010-07-08 20:00:00,247.474
2010-07-08 20:30:00,236.886
2010-07-08 21:00:00,225.18
2010-07-08 21:30:00,214.162
2010-07-08 22:00:00,195.67600000000002
2010-07-08 22:30:00,170.732
2010-07-08 23:00:00,146.832
2010-07-08 23:30:00,135.834
2010-07-09 00:00:00,115.704
2010-07-09 00:30:00,95.534
2010-07-09 01:00:00,93.836
2010-07-09 01:30:00,88.324
2010-07-09 02:00:00,76.138
2010-07-09 02:30:00,75.128
2010-07-09 03:00:00,75.974
2010-07-09 03:30:00,75.27
2010-07-09 04:00:00,72.58800000000001
2010-07-09 04:30:00,71.56
2010-07-09 05:00:00,76.758
2010-07-09 05:30:00,87.288
2010-07-09 06:00:00,91.926
2010-07-09 06:30:00,111.808
2010-07-09 07:00:00,120.372
2010-07-09 07:30:00,132.028
2010-07-09 08:00:00,153.238
2010-07-09 08:30:00,146.898
2010-07-09 09:00:00,113.72800000000001
2010-07-09 09:30:00,89.10400000000001
2010-07-09 10:00:00,68.898
2010-07-09 10:30:00,41.242000000000004
2010-07-09 11:00:00,10.391999999999996
2010-07-09 11:30:00,27.328000000000003
2010-07-09 12:00:00,23.421999999999997
2010-07-09 12:30:00,40.57799999999999
2010-07-09 13:00:00,62.791999999999994
