datetime,netload_kW
2010-07-01 00:00:00,215.792
2010-07-01 00:30:00,193.348
2010-07-01 01:00:00,166.112
2010-07-01 01:30:00,153.506
2010-07-01 02:00:00,140.508
2010-07-01 02:30:00,144.468
2010-07-01 03:00:00,150.776
2010-07-01 03:30:00,145.482
2010-07-01 04:00:00,148.69
2010-07-01 04:30:00,157.38
2010-07-01 05:00:00,168.272
2010-07-01 05:30:00,186.282
2010-07-01 06:00:00,216.752
2010-07-01 06:30:00,295.34
2010-07-01 07:00:00,358.254
2010-07-01 07:30:00,381.294
2010-07-01 08:00:00,391.642
2010-07-01 08:30:00,349.976
2010-07-01 09:00:00,275.908
2010-07-01 09:30:00,175.01399999999998
2010-07-01 10:00:00,120.00600000000004
2010-07-01 10:30:00,61.56400000000002
2010-07-01 11:00:00,62.262
2010-07-01 11:30:00,3.47199999999998
2010-07-01 12:00:00,-25.930000000000007
2010-07-01 12:30:00,-33.317999999999984
2010-07-01 13:00:00,-42.43399999999997
2010-07-01 13:30:00,-55.38799999999998
2010-07-01 14:00:00,-25.359999999999985
2010-07-01 14:30:00,3.1260000000000048
2010-07-01 15:00:00,59.54600000000001
2010-07-01 15:30:00,121.75
2010-07-01 16:00:00,185.604
2010-07-01 16:30:00,266.712
2010-07-01 17:00:00,381.65
2010-07-01 17:30:00,486.28
2010-07-01 18:00:00,569.09
2010-07-01 18:30:00,565.1600000000001
2010-07-01 19:00:00,536.622
2010-07-01 19:30:00,531.848
2010-07-01 20:00:00,538.206
2010-07-01 20:30:00,506.266
2010-07-01 21:00:00,472.886
2010-07-01 21:30:00,440.886
2010-07-01 22:00:00,390.324
2010-07-01 22:30:00,337.18
2010-07-01 23:00:00,287.51
2010-07-01 23:30:00,250.456
2010-07-02 00:00:00,257.53799999999995
2010-07-02 00:30:00,178.54
2010-07-02 01:00:00,165.608
2010-07-02 01:30:00,148.208
2010-07-02 02:00:00,146.296
2010-07-02 02:30:00,141.798
2010-07-02 03:00:00,136.79
2010-07-02 03:30:00,140.228
2010-07-02 04:00:00,131.102
2010-07-02 04:30:00,140.506
2010-07-02 05:00:00,148.34199999999998
2010-07-02 05:30:00,186.144
2010-07-02 06:00:00,208.744
2010-07-02 06:30:00,251.554
2010-07-02 07:00:00,301.258
2010-07-02 07:30:00,337.482
2010-07-02 08:00:00,369.076
2010-07-02 08:30:00,343.932
2010-07-02 09:00:00,279.798
2010-07-02 09:30:00,234.674
2010-07-02 10:00:00,242.742
2010-07-02 10:30:00,224.124
2010-07-02 11:00:00,214.43
2010-07-02 11:30:00,215.476
2010-07-02 12:00:00,201.594
2010-07-02 12:30:00,215.25600000000003
2010-07-02 13:00:00,221.68600000000004
2010-07-02 13:30:00,241.93
2010-07-02 14:00:00,248.402
2010-07-02 14:30:00,245.18
2010-07-02 15:00:00,252.338
2010-07-02 15:30:00,260.642
2010-07-02 16:00:00,320.234
2010-07-02 16:30:00,386.346
2010-07-02 17:00:00,428.64200000000005
2010-07-02 17:30:00,578.562
2010-07-02 18:00:00,618.3679999999999
2010-07-02 18:30:00,588.2220000000001
2010-07-02 19:00:00,563.01
2010-07-02 19:30:00,556.622
2010-07-02 20:00:00,533.962
2010-07-02 20:30:00,546.77
2010-07-02 21:00:00,518.9440000000001
2010-07-02 21:30:00,465.334
2010-07-02 22:00:00,420.988
2010-07-02 22:30:00,375.364
2010-07-02 23:00:00,330.774
2010-07-02 23:30:00,288.368
2010-07-03 00:00:00,230.914
2010-07-03 00:30:00,221.632
2010-07-03 01:00:00,185.54
2010-07-03 01:30:00,162.28799999999998
2010-07-03 02:00:00,154.414
2010-07-03 02:30:00,148.426
2010-07-03 03:00:00,143.554
2010-07-03 03:30:00,142.10399999999998
2010-07-03 04:00:00,146.498
2010-07-03 04:30:00,141.84799999999998
2010-07-03 05:00:00,148.846
2010-07-03 05:30:00,168.87
2010-07-03 06:00:00,189.032
2010-07-03 06:30:00,194.958
2010-07-03 07:00:00,228.562
2010-07-03 07:30:00,295.47200000000004
2010-07-03 08:00:00,337.776
2010-07-03 08:30:00,319.946
2010-07-03 09:00:00,250.836
2010-07-03 09:30:00,181.834
2010-07-03 10:00:00,113.70600000000002
2010-07-03 10:30:00,48.196000000000026
2010-07-03 11:00:00,-8.382000000000005
2010-07-03 11:30:00,-11.22999999999996
2010-07-03 12:00:00,-19.96799999999999
2010-07-03 12:30:00,-20.148000000000025
2010-07-03 13:00:00,-24.18599999999998
2010-07-03 13:30:00,-9.97199999999998
2010-07-03 14:00:00,-0.2259999999999991
2010-07-03 14:30:00,28.626000000000005
2010-07-03 15:00:00,70.554
2010-07-03 15:30:00,129.136
2010-07-03 16:00:00,198.882
2010-07-03 16:30:00,290.602
2010-07-03 17:00:00,374.118
2010-07-03 17:30:00,470.93
2010-07-03 18:00:00,521.3180000000001
2010-07-03 18:30:00,509.728
2010-07-03 19:00:00,489.576
2010-07-03 19:30:00,492.546
2010-07-03 20:00:00,502.538
2010-07-03 20:30:00,484.948
2010-07-03 21:00:00,465.388
2010-07-03 21:30:00,433.872
2010-07-03 22:00:00,392.68
2010-07-03 22:30:00,383.566
2010-07-03 23:00:00,333.002
2010-07-03 23:30:00,268.67
2010-07-04 00:00:00,206.384
2010-07-04 00:30:00,196.638
2010-07-04 01:00:00,179.964
2010-07-04 01:30:00,160.802
2010-07-04 02:00:00,164.976
2010-07-04 02:30:00,146.532
2010-07-04 03:00:00,139.756
2010-07-04 03:30:00,135.518
2010-07-04 04:00:00,140.146
2010-07-04 04:30:00,140.75
2010-07-04 05:00:00,143.948
2010-07-04 05:30:00,156.07
2010-07-04 06:00:00,169.526
2010-07-04 06:30:00,209.774
2010-07-04 07:00:00,239.866
2010-07-04 07:30:00,261.204
2010-07-04 08:00:00,296.654
2010-07-04 08:30:00,271.118
2010-07-04 09:00:00,255.98
2010-07-04 09:30:00,228.688
2010-07-04 10:00:00,169.954
2010-07-04 10:30:00,128.848
2010-07-04 11:00:00,89.95000000000002
2010-07-04 11:30:00,41.48400000000001
2010-07-04 12:00:00,61.24600000000004
2010-07-04 12:30:00,60.19
2010-07-04 13:00:00,62.18799999999999
2010-07-04 13:30:00,48.202
2010-07-04 14:00:00,57.13600000000002
2010-07-04 14:30:00,98.872
2010-07-04 15:00:00,134.88
2010-07-04 15:30:00,192.364
2010-07-04 16:00:00,248.164
2010-07-04 16:30:00,301.236
2010-07-04 17:00:00,404.822
2010-07-04 17:30:00,472.978
2010-07-04 18:00:00,515.494
2010-07-04 18:30:00,506.3
2010-07-04 19:00:00,503.182
2010-07-04 19:30:00,479.48
2010-07-04 20:00:00,478.746
2010-07-04 20:30:00,446.79
2010-07-04 21:00:00,430.418
2010-07-04 21:30:00,408.516
2010-07-04 22:00:00,365.38
2010-07-04 22:30:00,309.42
2010-07-04 23:00:00,261.502
2010-07-04 23:30:00,237.204
2010-07-05 00:00:00,191.984
2010-07-05 00:30:00,172.766
2010-07-05 01:00:00,158.804
2010-07-05 01:30:00,145.666
2010-07-05 02:00:00,133.752
2010-07-05 02:30:00,134.936
2010-07-05 03:00:00,137.478
2010-07-05 03:30:00,130.27
2010-07-05 04:00:00,135.05
2010-07-05 04:30:00,135.51000000000002
2010-07-05 05:00:00,155.01
2010-07-05 05:30:00,160.308
2010-07-05 06:00:00,179.202
2010-07-05 06:30:00,212.376
2010-07-05 07:00:00,239.644
2010-07-05 07:30:00,278.58
2010-07-05 08:00:00,278.544
2010-07-05 08:30:00,283.65200000000004
2010-07-05 09:00:00,288.904
2010-07-05 09:30:00,245.58
2010-07-05 10:00:00,206.558
2010-07-05 10:30:00,206.468
2010-07-05 11:00:00,171.69
2010-07-05 11:30:00,149.176
2010-07-05 12:00:00,135.974
2010-07-05 12:30:00,164.736
2010-07-05 13:00:00,184.57
2010-07-05 13:30:00,178.74200000000002
2010-07-05 14:00:00,196.686
2010-07-05 14:30:00,186.222
2010-07-05 15:00:00,216.476
2010-07-05 15:30:00,242.336
2010-07-05 16:00:00,259.178
2010-07-05 16:30:00,318.134
2010-07-05 17:00:00,363.266
2010-07-05 17:30:00,470.876
2010-07-05 18:00:00,521.1800000000001
2010-07-05 18:30:00,510.79
2010-07-05 19:00:00,500.262
2010-07-05 19:30:00,450.222
2010-07-05 20:00:00,424.292
2010-07-05 20:30:00,455.424
2010-07-05 21:00:00,426.034
2010-07-05 21:30:00,376.11
2010-07-05 22:00:00,346.252
2010-07-05 22:30:00,300.16
2010-07-05 23:00:00,264.51
2010-07-05 23:30:00,230.264
2010-07-06 00:00:00,201.946
2010-07-06 00:30:00,161.63199999999998
2010-07-06 01:00:00,142.86
2010-07-06 01:30:00,131.532
2010-07-06 02:00:00,124.776
2010-07-06 02:30:00,134.822
2010-07-06 03:00:00,131.524
2010-07-06 03:30:00,123.976
2010-07-06 04:00:00,134.13
2010-07-06 04:30:00,128.036
2010-07-06 05:00:00,138.146
2010-07-06 05:30:00,161.582
2010-07-06 06:00:00,179.924
2010-07-06 06:30:00,231.124
2010-07-06 07:00:00,251.982
2010-07-06 07:30:00,265.1
2010-07-06 08:00:00,280.802
2010-07-06 08:30:00,267.906
2010-07-06 09:00:00,245.322
2010-07-06 09:30:00,200.056
2010-07-06 10:00:00,165.978
2010-07-06 10:30:00,132.65
