datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h,cloud_opacity
2010-07-01 00:00:00,106.446,8.4,66.0,13.0,0.0
2010-07-01 00:30:00,107.454,7.9,67.0,13.0,0.0
2010-07-01 01:00:00,97.336,7.5,68.0,16.6,0.0
2010-07-01 01:30:00,89.238,7.4,69.0,18.4,0.0
2010-07-01 02:00:00,81.964,7.2,68.0,20.5,0.0
2010-07-01 02:30:00,85.35,7.1,68.0,16.6,0.0
2010-07-01 03:00:00,83.982,6.9,68.0,18.4,0.0
2010-07-01 03:30:00,80.546,6.5,70.0,16.6,0.0
2010-07-01 04:00:00,79.128,6.4,73.0,14.8,0.0
2010-07-01 04:30:00,80.778,6.4,73.0,16.6,0.0
2010-07-01 05:00:00,87.064,6.5,72.0,16.6,0.0
2010-07-01 05:30:00,99.462,6.8,71.0,14.8,0.0
2010-07-01 06:00:00,114.38,6.6,72.0,18.4,0.0
2010-07-01 06:30:00,149.18,7.3,69.0,16.6,0.0
2010-07-01 07:00:00,171.416,7.1,69.0,13.0,0.0
2010-07-01 07:30:00,190.23000000000002,7.0,71.0,13.0,0.0
2010-07-01 08:00:00,204.86200000000002,7.4,70.0,14.8,2.6
2010-07-01 08:30:00,170.254,8.1,65.0,16.6,14.3
2010-07-01 09:00:00,121.742,9.3,62.0,20.5,21.4
2010-07-01 09:30:00,96.76,10.9,57.0,14.8,20.2
2010-07-01 10:00:00,81.532,12.2,53.0,16.6,17.3
2010-07-01 10:30:00,55.396,13.9,45.0,16.6,11.0
2010-07-01 11:00:00,49.108000000000004,14.6,45.0,16.6,4.9
2010-07-01 11:30:00,48.086,14.8,41.0,22.3,7.4
2010-07-01 12:00:00,29.646,14.4,44.0,20.5,12.9
2010-07-01 12:30:00,16.557999999999993,15.2,44.0,25.9,12.0
2010-07-01 13:00:00,-0.5859999999999985,15.2,42.0,22.3,10.2
2010-07-01 13:30:00,-4.885999999999996,15.4,42.0,14.8,8.9
2010-07-01 14:00:00,-2.0219999999999914,15.6,42.0,14.8,9.8
2010-07-01 14:30:00,17.162000000000006,15.7,38.0,7.6,17.2
2010-07-01 15:00:00,48.872,15.2,38.0,16.6,23.2
2010-07-01 15:30:00,83.892,15.3,39.0,14.8,18.8
2010-07-01 16:00:00,115.54599999999999,14.8,48.0,9.4,7.6
2010-07-01 16:30:00,155.002,14.2,55.0,7.6,0.0
2010-07-01 17:00:00,201.304,13.4,58.0,0.0,0.0
2010-07-01 17:30:00,250.304,13.0,66.0,0.0,0.0
