datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h
2021-07-01 00:00:00,0.264248,13.7,96.0,13.0
2021-07-01 00:30:00,0.22532320000000003,13.2,96.0,9.4
2021-07-01 01:00:00,0.22925779999999998,13.3,97.0,11.2
2021-07-01 01:30:00,0.2275336,13.2,97.0,7.6
2021-07-01 02:00:00,0.2089162,12.9,98.0,7.6
2021-07-01 02:30:00,0.2262742,12.6,98.0,0.0
2021-07-01 03:00:00,0.2059692,12.3,98.0,7.6
2021-07-01 03:30:00,0.2302904,12.1,98.0,7.6
2021-07-01 04:00:00,0.2151162,11.7,98.0,11.2
2021-07-01 04:30:00,0.2141626,11.7,99.0,9.4
2021-07-01 05:00:00,0.22308799999999998,11.3,99.0,11.2
2021-07-01 05:30:00,0.2133952,11.1,99.0,9.4
2021-07-01 06:00:00,0.21533420000000003,11.1,99.0,11.2
2021-07-01 06:30:00,0.21222980000000002,10.6,99.0,7.6
2021-07-01 07:00:00,0.175548,10.9,99.0,7.6
2021-07-01 07:30:00,-0.018382199999999998,11.3,99.0,0.0
2021-07-01 08:00:00,-0.8784573999999999,11.7,99.0,7.6
2021-07-01 08:30:00,-1.0739104,11.9,97.0,11.2
2021-07-01 09:00:00,3.3770436000000004,12.3,96.0,13.0
2021-07-01 09:30:00,3.1767214,12.9,96.0,13.0
2021-07-01 10:00:00,4.8159766,13.3,95.0,9.4
2021-07-01 10:30:00,2.7253452,13.4,94.0,9.4
2021-07-01 11:00:00,-0.973131,14.1,93.0,9.4
2021-07-01 11:30:00,-1.4352128000000002,14.4,90.0,9.4
2021-07-01 12:00:00,-1.762481,15.1,88.0,9.4
2021-07-01 12:30:00,-1.8917388,15.9,83.0,9.4
2021-07-01 13:00:00,0.3005182000000001,15.1,82.0,5.4
2021-07-01 13:30:00,-0.4676094,15.3,84.0,7.6
2021-07-01 14:00:00,-1.1101898000000001,15.4,85.0,7.6
2021-07-01 14:30:00,-0.9003368000000002,16.2,79.0,9.4
2021-07-01 15:00:00,-0.5012944,16.0,81.0,7.6
2021-07-01 15:30:00,-0.1101198,16.6,74.0,13.0
2021-07-01 16:00:00,0.1340698,16.7,75.0,13.0
2021-07-01 16:30:00,0.31395,16.5,77.0,13.0
2021-07-01 17:00:00,2.3097532,16.1,80.0,9.4
2021-07-01 17:30:00,1.9938308000000002,16.1,80.0,9.4
2021-07-01 18:00:00,2.062171,16.2,80.0,9.4
2021-07-01 18:30:00,2.4625916,16.1,81.0,9.4
2021-07-01 19:00:00,1.0918194,15.8,83.0,11.2
2021-07-01 19:30:00,1.3870110000000002,15.7,85.0,13.0
2021-07-01 20:00:00,1.3471316,14.7,90.0,13.0
2021-07-01 20:30:00,0.43766020000000005,14.7,91.0,5.4
2021-07-01 21:00:00,0.4065268,14.2,93.0,13.0
2021-07-01 21:30:00,0.4390566,14.3,95.0,7.6
2021-07-01 22:00:00,0.49639720000000004,14.3,95.0,11.2
2021-07-01 22:30:00,0.39264140000000003,14.1,95.0,13.0
2021-07-01 23:00:00,0.2382854,13.7,96.0,13.0
2021-07-01 23:30:00,0.2337446,13.5,96.0,11.2
2021-07-02 00:00:00,0.2349476,13.4,96.0,9.4
2021-07-02 00:30:00,0.2203206,13.4,96.0,9.4
2021-07-02 01:00:00,0.2302466,13.2,96.0,9.4
2021-07-02 01:30:00,0.21549739999999998,13.0,95.0,9.4
2021-07-02 02:00:00,0.2229674,12.6,95.0,9.4
2021-07-02 02:30:00,0.2107148,12.4,96.0,7.6
2021-07-02 03:00:00,0.21889360000000002,12.6,96.0,5.4
2021-07-02 03:30:00,0.2154172,12.5,96.0,0.0
2021-07-02 04:00:00,0.22268100000000002,12.0,96.0,9.4
2021-07-02 04:30:00,0.2171168,11.9,96.0,9.4
2021-07-02 05:00:00,0.22665280000000002,11.5,97.0,9.4
2021-07-02 05:30:00,0.46710140000000006,11.7,98.0,9.4
2021-07-02 06:00:00,0.3502342,12.2,98.0,11.2
2021-07-02 06:30:00,0.31529900000000005,12.5,97.0,13.0
2021-07-02 07:00:00,0.2129884,12.8,96.0,13.0
2021-07-02 07:30:00,0.028576400000000002,12.7,95.0,14.8
2021-07-02 08:00:00,1.6756838,12.7,95.0,14.8
2021-07-02 08:30:00,1.1740006,12.7,93.0,11.2
2021-07-02 09:00:00,-0.03989039999999997,13.4,91.0,11.2
2021-07-02 09:30:00,-0.3969312,13.1,91.0,11.2
2021-07-02 10:00:00,-6.1069752,13.5,91.0,14.8
2021-07-02 10:30:00,-4.4012036,14.0,87.0,14.8
2021-07-02 11:00:00,-5.6756530000000005,15.0,83.0,16.6
2021-07-02 11:30:00,-7.4181032,15.5,79.0,16.6
2021-07-02 12:00:00,-6.3952824,15.8,78.0,13.0
2021-07-02 12:30:00,-7.508532,17.3,73.0,14.8
2021-07-02 13:00:00,-5.943079999999999,18.1,68.0,9.4
2021-07-02 13:30:00,-6.779094000000001,19.0,66.0,9.4
2021-07-02 14:00:00,-6.9478996,19.7,64.0,7.6
2021-07-02 14:30:00,-6.225578,18.0,70.0,9.4
2021-07-02 15:00:00,-5.1893478,16.6,81.0,9.4
2021-07-02 15:30:00,-4.3501612000000005,18.2,74.0,7.6
2021-07-02 16:00:00,-2.6387826000000003,16.4,81.0,7.6
2021-07-02 16:30:00,-0.5255266,16.9,78.0,9.4
2021-07-02 17:00:00,0.5931092,16.6,82.0,9.4
2021-07-02 17:30:00,1.1530782000000002,15.5,85.0,7.6
2021-07-02 18:00:00,3.2604604,15.4,86.0,3.6
