datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h
2010-07-01 00:00:00,215.792,8.4,66.0,13.0
2010-07-01 00:30:00,193.348,7.9,67.0,13.0
2010-07-01 01:00:00,166.112,7.5,68.0,16.6
2010-07-01 01:30:00,153.506,7.4,69.0,18.4
2010-07-01 02:00:00,140.508,7.2,68.0,20.5
2010-07-01 02:30:00,144.468,7.1,68.0,16.6
2010-07-01 03:00:00,150.776,6.9,68.0,18.4
2010-07-01 03:30:00,145.482,6.5,70.0,16.6
2010-07-01 04:00:00,148.69,6.4,73.0,14.8
2010-07-01 04:30:00,157.38,6.4,73.0,16.6
2010-07-01 05:00:00,168.272,6.5,72.0,16.6
2010-07-01 05:30:00,186.282,6.8,71.0,14.8
2010-07-01 06:00:00,216.752,6.6,72.0,18.4
2010-07-01 06:30:00,295.34,7.3,69.0,16.6
2010-07-01 07:00:00,358.254,7.1,69.0,13.0
2010-07-01 07:30:00,381.294,7.0,71.0,13.0
2010-07-01 08:00:00,391.642,7.4,70.0,14.8
2010-07-01 08:30:00,349.976,8.1,65.0,16.6
2010-07-01 09:00:00,275.908,9.3,62.0,20.5
2010-07-01 09:30:00,175.01399999999998,10.9,57.0,14.8
2010-07-01 10:00:00,120.00600000000004,12.2,53.0,16.6
2010-07-01 10:30:00,61.56400000000002,13.9,45.0,16.6
2010-07-01 11:00:00,62.262,14.6,45.0,16.6
2010-07-01 11:30:00,3.47199999999998,14.8,41.0,22.3
2010-07-01 12:00:00,-25.930000000000007,14.4,44.0,20.5
2010-07-01 12:30:00,-33.317999999999984,15.2,44.0,25.9
2010-07-01 13:00:00,-42.43399999999997,15.2,42.0,22.3
2010-07-01 13:30:00,-55.38799999999998,15.4,42.0,14.8
2010-07-01 14:00:00,-25.359999999999985,15.6,42.0,14.8
2010-07-01 14:30:00,3.1260000000000048,15.7,38.0,7.6
2010-07-01 15:00:00,59.54600000000001,15.2,38.0,16.6
2010-07-01 15:30:00,121.75,15.3,39.0,14.8
2010-07-01 16:00:00,185.604,14.8,48.0,9.4
2010-07-01 16:30:00,266.712,14.2,55.0,7.6
2010-07-01 17:00:00,381.65,13.4,58.0,0.0
2010-07-01 17:30:00,486.28,13.0,66.0,0.0
2010-07-01 18:00:00,569.09,13.0,56.0,0.0
2010-07-01 18:30:00,565.1600000000001,13.3,54.0,0.0
2010-07-01 19:00:00,536.622,13.0,57.0,7.6
2010-07-01 19:30:00,531.848,12.2,58.0,11.2
2010-07-01 20:00:00,538.206,12.2,58.0,9.4
2010-07-01 20:30:00,506.266,11.5,59.0,13.0
2010-07-01 21:00:00,472.886,10.8,64.0,14.8
2010-07-01 21:30:00,440.886,11.2,61.0,9.4
2010-07-01 22:00:00,390.324,11.0,64.0,11.2
2010-07-01 22:30:00,337.18,9.8,70.0,7.6
2010-07-01 23:00:00,287.51,9.4,69.0,9.4
2010-07-01 23:30:00,250.456,8.1,76.0,9.4
2010-07-02 00:00:00,257.53799999999995,9.1,69.0,7.6
2010-07-02 00:30:00,178.54,8.3,71.0,13.0
2010-07-02 01:00:00,165.608,8.2,71.0,14.8
2010-07-02 01:30:00,148.208,7.6,74.0,11.2
2010-07-02 02:00:00,146.296,7.6,74.0,14.8
2010-07-02 02:30:00,141.798,7.4,74.0,14.8
2010-07-02 03:00:00,136.79,7.1,77.0,13.0
2010-07-02 03:30:00,140.228,7.5,74.0,13.0
2010-07-02 04:00:00,131.102,7.5,74.0,14.8
2010-07-02 04:30:00,140.506,7.2,75.0,14.8
2010-07-02 05:00:00,148.34199999999998,7.7,74.0,13.0
2010-07-02 05:30:00,186.144,7.5,74.0,13.0
2010-07-02 06:00:00,208.744,8.2,71.0,14.8
2010-07-02 06:30:00,251.554,8.6,70.0,11.2
2010-07-02 07:00:00,301.258,8.2,72.0,14.8
2010-07-02 07:30:00,337.482,8.7,70.0,16.6
2010-07-02 08:00:00,369.076,8.5,71.0,16.6
2010-07-02 08:30:00,343.932,9.8,66.0,14.8
2010-07-02 09:00:00,279.798,9.9,65.0,14.8
2010-07-02 09:30:00,234.674,10.5,62.0,14.8
2010-07-02 10:00:00,242.742,10.7,63.0,16.6
2010-07-02 10:30:00,224.124,11.2,61.0,18.4
2010-07-02 11:00:00,214.43,11.4,61.0,18.4
2010-07-02 11:30:00,215.476,12.0,59.0,20.5
2010-07-02 12:00:00,201.594,12.4,57.0,14.8
2010-07-02 12:30:00,215.25600000000003,12.5,57.0,16.6
2010-07-02 13:00:00,221.68600000000004,12.9,54.0,16.6
2010-07-02 13:30:00,241.93,12.7,57.0,14.8
2010-07-02 14:00:00,248.402,13.4,53.0,14.8
2010-07-02 14:30:00,245.18,13.6,54.0,14.8
2010-07-02 15:00:00,252.338,13.9,51.0,16.6
2010-07-02 15:30:00,260.642,13.8,54.0,14.8
2010-07-02 16:00:00,320.234,13.4,56.0,14.8
2010-07-02 16:30:00,386.346,13.5,56.0,13.0
2010-07-02 17:00:00,428.64200000000005,13.0,61.0,13.0
2010-07-02 17:30:00,578.562,13.0,59.0,13.0
2010-07-02 18:00:00,618.3679999999999,13.0,60.0,14.8
2010-07-02 18:30:00,588.2220000000001,12.6,64.0,16.6
2010-07-02 19:00:00,563.01,12.3,67.0,16.6
2010-07-02 19:30:00,556.622,12.0,68.0,16.6
2010-07-02 20:00:00,533.962,11.8,68.0,14.8
2010-07-02 20:30:00,546.77,11.4,72.0,16.6
2010-07-02 21:00:00,518.9440000000001,11.0,73.0,14.8
2010-07-02 21:30:00,465.334,10.8,72.0,22.3
2010-07-02 22:00:00,420.988,10.6,75.0,16.6
2010-07-02 22:30:00,375.364,11.0,73.0,20.5
2010-07-02 23:00:00,330.774,10.5,76.0,20.5
2010-07-02 23:30:00,288.368,9.8,86.0,18.4
2010-07-03 00:00:00,230.914,9.5,87.0,16.6
2010-07-03 00:30:00,221.632,9.2,90.0,18.4
2010-07-03 01:00:00,185.54,9.2,90.0,20.5
2010-07-03 01:30:00,162.28799999999998,9.3,89.0,18.4
2010-07-03 02:00:00,154.414,9.1,90.0,18.4
2010-07-03 02:30:00,148.426,9.0,89.0,18.4
2010-07-03 03:00:00,143.554,8.8,89.0,18.4
2010-07-03 03:30:00,142.10399999999998,8.6,90.0,20.5
2010-07-03 04:00:00,146.498,8.0,94.0,16.6
2010-07-03 04:30:00,141.84799999999998,7.7,94.0,20.5
2010-07-03 05:00:00,148.846,7.8,93.0,18.4
2010-07-03 05:30:00,168.87,7.9,93.0,20.5
2010-07-03 06:00:00,189.032,7.6,88.0,22.3
2010-07-03 06:30:00,194.958,7.8,76.0,33.5
2010-07-03 07:00:00,228.562,7.8,76.0,31.3
2010-07-03 07:30:00,295.47200000000004,7.9,73.0,31.3
2010-07-03 08:00:00,337.776,8.6,69.0,29.5
2010-07-03 08:30:00,319.946,9.4,65.0,33.5
2010-07-03 09:00:00,250.836,10.1,60.0,31.3
2010-07-03 09:30:00,181.834,10.9,58.0,27.7
2010-07-03 10:00:00,113.70600000000002,11.6,55.0,31.3
2010-07-03 10:30:00,48.196000000000026,12.4,53.0,29.5
2010-07-03 11:00:00,-8.382000000000005,13.0,47.0,29.5
2010-07-03 11:30:00,-11.22999999999996,13.6,42.0,27.7
2010-07-03 12:00:00,-19.96799999999999,14.3,43.0,25.9
2010-07-03 12:30:00,-20.148000000000025,14.3,42.0,31.3
2010-07-03 13:00:00,-24.18599999999998,14.4,44.0,35.3
2010-07-03 13:30:00,-9.97199999999998,14.2,45.0,29.5
2010-07-03 14:00:00,-0.2259999999999991,14.3,44.0,29.5
2010-07-03 14:30:00,28.626000000000005,14.3,47.0,35.3
2010-07-03 15:00:00,70.554,14.5,43.0,29.5
2010-07-03 15:30:00,129.136,14.2,47.0,29.5
2010-07-03 16:00:00,198.882,14.1,53.0,29.5
2010-07-03 16:30:00,290.602,13.8,54.0,24.1
2010-07-03 17:00:00,374.118,13.6,51.0,22.3
2010-07-03 17:30:00,470.93,13.0,55.0,20.5
2010-07-03 18:00:00,521.3180000000001,12.3,50.0,20.5
2010-07-03 18:30:00,509.728,11.6,52.0,18.4
2010-07-03 19:00:00,489.576,11.7,54.0,16.6
2010-07-03 19:30:00,492.546,11.8,52.0,18.4
2010-07-03 20:00:00,502.538,10.9,56.0,22.3
2010-07-03 20:30:00,484.948,11.1,53.0,25.9
2010-07-03 21:00:00,465.388,10.8,54.0,24.1
2010-07-03 21:30:00,433.872,10.8,53.0,24.1
2010-07-03 22:00:00,392.68,11.0,54.0,22.3
2010-07-03 22:30:00,383.566,11.0,53.0,24.1
2010-07-03 23:00:00,333.002,10.9,55.0,24.1
2010-07-03 23:30:00,268.67,11.0,56.0,27.7
2010-07-04 00:00:00,206.384,10.9,57.0,27.7
2010-07-04 00:30:00,196.638,10.7,58.0,25.9
2010-07-04 01:00:00,179.964,10.2,61.0,25.9
2010-07-04 01:30:00,160.802,10.0,63.0,20.5
2010-07-04 02:00:00,164.976,10.1,62.0,20.5
2010-07-04 02:30:00,146.532,9.8,63.0,18.4
2010-07-04 03:00:00,139.756,9.6,63.0,14.8
2010-07-04 03:30:00,135.518,9.5,63.0,16.6
2010-07-04 04:00:00,140.146,9.4,63.0,13.0
2010-07-04 04:30:00,140.75,8.9,65.0,11.2
2010-07-04 05:00:00,143.948,8.6,66.0,14.8
2010-07-04 05:30:00,156.07,8.0,68.0,13.0
2010-07-04 06:00:00,169.526,7.4,70.0,20.5
2010-07-04 06:30:00,209.774,7.8,68.0,16.6
2010-07-04 07:00:00,239.866,7.5,70.0,18.4
2010-07-04 07:30:00,261.204,7.8,69.0,14.8
2010-07-04 08:00:00,296.654,8.9,65.0,13.0
2010-07-04 08:30:00,271.118,9.7,63.0,16.6
2010-07-04 09:00:00,255.98,10.9,58.0,14.8
2010-07-04 09:30:00,228.688,11.9,56.0,16.6
2010-07-04 10:00:00,169.954,13.5,53.0,13.0
2010-07-04 10:30:00,128.848,14.9,53.0,11.2
2010-07-04 11:00:00,89.95000000000002,15.0,58.0,18.4
2010-07-04 11:30:00,41.48400000000001,15.3,64.0,24.1
2010-07-04 12:00:00,61.24600000000004,15.5,64.0,24.1
2010-07-04 12:30:00,60.19,15.3,65.0,24.1
2010-07-04 13:00:00,62.18799999999999,15.8,64.0,22.3
2010-07-04 13:30:00,48.202,15.6,64.0,24.1
2010-07-04 14:00:00,57.13600000000002,15.8,65.0,24.1
