datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h
2021-07-01 00:00:00,116.4556258,13.7,96.0,13.0
2021-07-01 00:30:00,88.273554,13.2,96.0,9.4
2021-07-01 01:00:00,65.6255824,13.3,97.0,11.2
2021-07-01 01:30:00,37.1422192,13.2,97.0,7.6
2021-07-01 02:00:00,22.757475600000003,12.9,98.0,7.6
2021-07-01 02:30:00,24.9731562,12.6,98.0,0.0
2021-07-01 03:00:00,20.812371400000004,12.3,98.0,7.6
2021-07-01 03:30:00,64.324156,12.1,98.0,7.6
2021-07-01 04:00:00,67.0584368,11.7,98.0,11.2
2021-07-01 04:30:00,84.1016896,11.7,99.0,9.4
2021-07-01 05:00:00,106.3141584,11.3,99.0,11.2
2021-07-01 05:30:00,148.146129,11.1,99.0,9.4
2021-07-01 06:00:00,194.598127,11.1,99.0,11.2
2021-07-01 06:30:00,220.37417,10.6,99.0,7.6
2021-07-01 07:00:00,256.5013478,10.9,99.0,7.6
2021-07-01 07:30:00,272.0449264,11.3,99.0,0.0
2021-07-01 08:00:00,241.58925740000004,11.7,99.0,7.6
2021-07-01 08:30:00,216.4116144,11.9,97.0,11.2
2021-07-01 09:00:00,166.8204512,12.3,96.0,13.0
2021-07-01 09:30:00,85.66022880000001,12.9,96.0,13.0
2021-07-01 10:00:00,66.6774846,13.3,95.0,9.4
2021-07-01 10:30:00,22.518306,13.4,94.0,9.4
2021-07-01 11:00:00,-8.710196400000001,14.1,93.0,9.4
2021-07-01 11:30:00,-35.8773952,14.4,90.0,9.4
2021-07-01 12:00:00,-37.158234,15.1,88.0,9.4
2021-07-01 12:30:00,-60.402919,15.9,83.0,9.4
2021-07-01 13:00:00,-50.0101478,15.1,82.0,5.4
2021-07-01 13:30:00,-22.656318400000004,15.3,84.0,7.6
2021-07-01 14:00:00,34.643244200000005,15.4,85.0,7.6
2021-07-01 14:30:00,82.90511120000001,16.2,79.0,9.4
2021-07-01 15:00:00,115.2963644,16.0,81.0,7.6
2021-07-01 15:30:00,151.8599824,16.6,74.0,13.0
2021-07-01 16:00:00,188.7153152,16.7,75.0,13.0
2021-07-01 16:30:00,247.0072602,16.5,77.0,13.0
2021-07-01 17:00:00,277.8222928,16.1,80.0,9.4
2021-07-01 17:30:00,290.82140380000004,16.1,80.0,9.4
2021-07-01 18:00:00,285.5561442,16.2,80.0,9.4
2021-07-01 18:30:00,286.3669064,16.1,81.0,9.4
2021-07-01 19:00:00,277.99214980000005,15.8,83.0,11.2
2021-07-01 19:30:00,274.1812564,15.7,85.0,13.0
2021-07-01 20:00:00,265.1602164,14.7,90.0,13.0
2021-07-01 20:30:00,264.05093460000006,14.7,91.0,5.4
2021-07-01 21:00:00,264.052742,14.2,93.0,13.0
2021-07-01 21:30:00,269.96613560000003,14.3,95.0,7.6
2021-07-01 22:00:00,242.411584,14.3,95.0,11.2
2021-07-01 22:30:00,228.9348412,14.1,95.0,13.0
2021-07-01 23:00:00,181.4151606,13.7,96.0,13.0
2021-07-01 23:30:00,167.08135560000002,13.5,96.0,11.2
2021-07-02 00:00:00,136.8878764,13.4,96.0,9.4
2021-07-02 00:30:00,84.7565318,13.4,96.0,9.4
2021-07-02 01:00:00,45.7459186,13.2,96.0,9.4
2021-07-02 01:30:00,28.0846492,13.0,95.0,9.4
2021-07-02 02:00:00,57.0578818,12.6,95.0,9.4
2021-07-02 02:30:00,37.901321,12.4,96.0,7.6
2021-07-02 03:00:00,31.6262976,12.6,96.0,5.4
2021-07-02 03:30:00,41.1365682,12.5,96.0,0.0
2021-07-02 04:00:00,31.601437400000005,12.0,96.0,9.4
2021-07-02 04:30:00,45.0096284,11.9,96.0,9.4
2021-07-02 05:00:00,86.3610802,11.5,97.0,9.4
2021-07-02 05:30:00,134.255672,11.7,98.0,9.4
2021-07-02 06:00:00,180.7874438,12.2,98.0,11.2
2021-07-02 06:30:00,221.2236874,12.5,97.0,13.0
2021-07-02 07:00:00,260.8427798,12.8,96.0,13.0
2021-07-02 07:30:00,271.0905422,12.7,95.0,14.8
2021-07-02 08:00:00,244.3310896,12.7,95.0,14.8
2021-07-02 08:30:00,217.4597236,12.7,93.0,11.2
2021-07-02 09:00:00,180.4599422,13.4,91.0,11.2
2021-07-02 09:30:00,113.3963828,13.1,91.0,11.2
2021-07-02 10:00:00,71.70737380000001,13.5,91.0,14.8
2021-07-02 10:30:00,-4.673381,14.0,87.0,14.8
2021-07-02 11:00:00,-64.03221140000001,15.0,83.0,16.6
2021-07-02 11:30:00,-83.9463078,15.5,79.0,16.6
2021-07-02 12:00:00,-118.1286872,15.8,78.0,13.0
2021-07-02 12:30:00,-118.8057296,17.3,73.0,14.8
2021-07-02 13:00:00,-119.4677622,18.1,68.0,9.4
2021-07-02 13:30:00,-109.8818244,19.0,66.0,9.4
2021-07-02 14:00:00,-71.1673382,19.7,64.0,7.6
2021-07-02 14:30:00,-6.518316600000001,18.0,70.0,9.4
