datetime,netload_kW
2021-07-01 00:00:00,130.311
2021-07-01 00:30:00,124.584
2021-07-01 01:00:00,126.831
2021-07-01 01:30:00,87.189
2021-07-01 02:00:00,76.515
2021-07-01 02:30:00,68.159
2021-07-01 03:00:00,59.261
2021-07-01 03:30:00,87.003
2021-07-01 04:00:00,87.652
2021-07-01 04:30:00,96.583
2021-07-01 05:00:00,110.516
2021-07-01 05:30:00,135.205
2021-07-01 06:00:00,166.434
2021-07-01 06:30:00,176.555
2021-07-01 07:00:00,184.993
2021-07-01 07:30:00,219.195
2021-07-01 08:00:00,208.341
2021-07-01 08:30:00,192.041
2021-07-01 09:00:00,148.683
2021-07-01 09:30:00,134.304
2021-07-01 10:00:00,133.171
2021-07-01 10:30:00,107.899
2021-07-01 11:00:00,97.702
2021-07-01 11:30:00,64.542
2021-07-01 12:00:00,42.187
2021-07-01 12:30:00,12.978
2021-07-01 13:00:00,9.656
2021-07-01 13:30:00,58.612
2021-07-01 14:00:00,101.726
2021-07-01 14:30:00,133.143
2021-07-01 15:00:00,158.412
2021-07-01 15:30:00,187.509
2021-07-01 16:00:00,188.293
2021-07-01 16:30:00,220.342
2021-07-01 17:00:00,225.829
2021-07-01 17:30:00,240.688
2021-07-01 18:00:00,232.277
2021-07-01 18:30:00,226.674
2021-07-01 19:00:00,226.758
2021-07-01 19:30:00,234.512
2021-07-01 20:00:00,214.350
2021-07-01 20:30:00,201.177
2021-07-01 21:00:00,197.958
2021-07-01 21:30:00,208.348
2021-07-01 22:00:00,195.423
2021-07-01 22:30:00,181.653
2021-07-01 23:00:00,154.213
2021-07-01 23:30:00,132.228
2021-07-02 00:00:00,113.731
2021-07-02 00:30:00,69.513
2021-07-02 01:00:00,44.657
2021-07-02 01:30:00,29.908
2021-07-02 02:00:00,31.678
2021-07-02 02:30:00,23.128
2021-07-02 03:00:00,29.024
2021-07-02 03:30:00,22.302
2021-07-02 04:00:00,16.731
2021-07-02 04:30:00,29.664
2021-07-02 05:00:00,55.944
2021-07-02 05:30:00,89.036
2021-07-02 06:00:00,137.081
2021-07-02 06:30:00,158.254
2021-07-02 07:00:00,173.199
2021-07-02 07:30:00,179.129
2021-07-02 08:00:00,166.658
2021-07-02 08:30:00,143.960
2021-07-02 09:00:00,110.681
2021-07-02 09:30:00,73.275
2021-07-02 10:00:00,39.940
2021-07-02 10:30:00,-9.681
2021-07-02 11:00:00,-86.824
2021-07-02 11:30:00,-106.681
2021-07-02 12:00:00,-122.959
2021-07-02 12:30:00,-134.187
2021-07-02 13:00:00,-125.868
2021-07-02 13:30:00,-110.433
2021-07-02 14:00:00,-68.557
2021-07-02 14:30:00,-13.338
2021-07-02 15:00:00,41.064
2021-07-02 15:30:00,85.340
2021-07-02 16:00:00,136.918
2021-07-02 16:30:00,166.765
2021-07-02 17:00:00,188.139
2021-07-02 17:30:00,198.497
2021-07-02 18:00:00,224.057
2021-07-02 18:30:00,223.603
2021-07-02 19:00:00,213.037
2021-07-02 19:30:00,219.477
2021-07-02 20:00:00,216.784
2021-07-02 20:30:00,214.097
2021-07-02 21:00:00,206.655
2021-07-02 21:30:00,204.052
2021-07-02 22:00:00,190.750
2021-07-02 22:30:00,167.467
2021-07-02 23:00:00,147.950
2021-07-02 23:30:00,115.226
2021-07-03 00:00:00,114.683
2021-07-03 00:30:00,79.684
2021-07-03 01:00:00,55.007
2021-07-03 01:30:00,29.826
2021-07-03 02:00:00,32.880
2021-07-03 02:30:00,23.514
2021-07-03 03:00:00,21.675
2021-07-03 03:30:00,25.102
2021-07-03 04:00:00,43.882
2021-07-03 04:30:00,49.261
2021-07-03 05:00:00,82.934
2021-07-03 05:30:00,113.148
2021-07-03 06:00:00,129.552
2021-07-03 06:30:00,174.376
2021-07-03 07:00:00,190.605
2021-07-03 07:30:00,200.995
2021-07-03 08:00:00,187.495
2021-07-03 08:30:00,102.714
2021-07-03 09:00:00,50.877
2021-07-03 09:30:00,7.932
2021-07-03 10:00:00,-51.064
2021-07-03 10:30:00,-84.777
2021-07-03 11:00:00,-107.687
2021-07-03 11:30:00,-140.496
2021-07-03 12:00:00,-131.797
2021-07-03 12:30:00,-122.676
2021-07-03 13:00:00,-95.117
2021-07-03 13:30:00,-95.199
2021-07-03 14:00:00,-68.258
2021-07-03 14:30:00,-4.243
2021-07-03 15:00:00,53.303
2021-07-03 15:30:00,88.784
2021-07-03 16:00:00,138.617
2021-07-03 16:30:00,183.390
2021-07-03 17:00:00,204.410
2021-07-03 17:30:00,235.264
2021-07-03 18:00:00,249.485
2021-07-03 18:30:00,243.556
2021-07-03 19:00:00,233.291
2021-07-03 19:30:00,220.512
2021-07-03 20:00:00,222.489
2021-07-03 20:30:00,231.373
2021-07-03 21:00:00,213.698
2021-07-03 21:30:00,196.485
2021-07-03 22:00:00,197.806
2021-07-03 22:30:00,164.496
2021-07-03 23:00:00,146.948
2021-07-03 23:30:00,117.166
2021-07-04 00:00:00,99.796
2021-07-04 00:30:00,59.753
2021-07-04 01:00:00,29.390
2021-07-04 01:30:00,33.965
2021-07-04 02:00:00,26.838
2021-07-04 02:30:00,20.112
2021-07-04 03:00:00,12.071
2021-07-04 03:30:00,27.884
2021-07-04 04:00:00,38.948
2021-07-04 04:30:00,52.986
2021-07-04 05:00:00,73.375
2021-07-04 05:30:00,116.144
2021-07-04 06:00:00,146.845
2021-07-04 06:30:00,187.435
2021-07-04 07:00:00,213.874
2021-07-04 07:30:00,191.918
2021-07-04 08:00:00,152.294
2021-07-04 08:30:00,140.270
2021-07-04 09:00:00,102.574
2021-07-04 09:30:00,39.244
2021-07-04 10:00:00,-10.546
2021-07-04 10:30:00,-67.576
2021-07-04 11:00:00,-95.371
2021-07-04 11:30:00,-127.890
2021-07-04 12:00:00,-153.927
2021-07-04 12:30:00,-154.138
2021-07-04 13:00:00,-141.455
2021-07-04 13:30:00,-120.163
2021-07-04 14:00:00,-91.023
2021-07-04 14:30:00,-55.634
2021-07-04 15:00:00,15.790
2021-07-04 15:30:00,90.715
2021-07-04 16:00:00,155.241
2021-07-04 16:30:00,223.631
2021-07-04 17:00:00,261.006
2021-07-04 17:30:00,272.889
2021-07-04 18:00:00,269.224
2021-07-04 18:30:00,260.545
2021-07-04 19:00:00,272.875
2021-07-04 19:30:00,272.063
2021-07-04 20:00:00,256.820
2021-07-04 20:30:00,252.415
2021-07-04 21:00:00,244.383
2021-07-04 21:30:00,223.464
2021-07-04 22:00:00,228.783
2021-07-04 22:30:00,206.296
2021-07-04 23:00:00,166.878
2021-07-04 23:30:00,133.436
2021-07-05 00:00:00,115.013
2021-07-05 00:30:00,82.318
2021-07-05 01:00:00,71.683
2021-07-05 01:30:00,44.473
2021-07-05 02:00:00,29.686
2021-07-05 02:30:00,52.007
2021-07-05 03:00:00,40.251
