datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h
2021-07-01 00:00:00,130.311,13.7,96.0,13.0
2021-07-01 00:30:00,124.584,13.2,96.0,9.4
2021-07-01 01:00:00,126.831,13.3,97.0,11.2
2021-07-01 01:30:00,87.189,13.2,97.0,7.6
2021-07-01 02:00:00,76.515,12.9,98.0,7.6
2021-07-01 02:30:00,68.159,12.6,98.0,0.0
2021-07-01 03:00:00,59.261,12.3,98.0,7.6
2021-07-01 03:30:00,87.003,12.1,98.0,7.6
2021-07-01 04:00:00,87.652,11.7,98.0,11.2
2021-07-01 04:30:00,96.583,11.7,99.0,9.4
2021-07-01 05:00:00,110.516,11.3,99.0,11.2
2021-07-01 05:30:00,135.205,11.1,99.0,9.4
2021-07-01 06:00:00,166.434,11.1,99.0,11.2
2021-07-01 06:30:00,176.555,10.6,99.0,7.6
2021-07-01 07:00:00,184.993,10.9,99.0,7.6
2021-07-01 07:30:00,219.195,11.3,99.0,0.0
2021-07-01 08:00:00,208.341,11.7,99.0,7.6
2021-07-01 08:30:00,192.041,11.9,97.0,11.2
2021-07-01 09:00:00,148.683,12.3,96.0,13.0
2021-07-01 09:30:00,134.304,12.9,96.0,13.0
2021-07-01 10:00:00,133.171,13.3,95.0,9.4
2021-07-01 10:30:00,107.899,13.4,94.0,9.4
2021-07-01 11:00:00,97.702,14.1,93.0,9.4
2021-07-01 11:30:00,64.542,14.4,90.0,9.4
2021-07-01 12:00:00,42.187,15.1,88.0,9.4
2021-07-01 12:30:00,12.978,15.9,83.0,9.4
2021-07-01 13:00:00,9.656,15.1,82.0,5.4
2021-07-01 13:30:00,58.612,15.3,84.0,7.6
2021-07-01 14:00:00,101.726,15.4,85.0,7.6
2021-07-01 14:30:00,133.143,16.2,79.0,9.4
2021-07-01 15:00:00,158.412,16.0,81.0,7.6
2021-07-01 15:30:00,187.509,16.6,74.0,13.0
2021-07-01 16:00:00,188.293,16.7,75.0,13.0
2021-07-01 16:30:00,220.342,16.5,77.0,13.0
2021-07-01 17:00:00,225.829,16.1,80.0,9.4
2021-07-01 17:30:00,240.688,16.1,80.0,9.4
2021-07-01 18:00:00,232.277,16.2,80.0,9.4
2021-07-01 18:30:00,226.674,16.1,81.0,9.4
2021-07-01 19:00:00,226.758,15.8,83.0,11.2
2021-07-01 19:30:00,234.512,15.7,85.0,13.0
2021-07-01 20:00:00,214.35,14.7,90.0,13.0
2021-07-01 20:30:00,201.177,14.7,91.0,5.4
2021-07-01 21:00:00,197.958,14.2,93.0,13.0
2021-07-01 21:30:00,208.348,14.3,95.0,7.6
2021-07-01 22:00:00,195.423,14.3,95.0,11.2
2021-07-01 22:30:00,181.653,14.1,95.0,13.0
2021-07-01 23:00:00,154.213,13.7,96.0,13.0
2021-07-01 23:30:00,132.228,13.5,96.0,11.2
2021-07-02 00:00:00,113.731,13.4,96.0,9.4
2021-07-02 00:30:00,69.513,13.4,96.0,9.4
2021-07-02 01:00:00,44.657,13.2,96.0,9.4
2021-07-02 01:30:00,29.908,13.0,95.0,9.4
2021-07-02 02:00:00,31.678,12.6,95.0,9.4
2021-07-02 02:30:00,23.128,12.4,96.0,7.6
2021-07-02 03:00:00,29.024,12.6,96.0,5.4
2021-07-02 03:30:00,22.302,12.5,96.0,0.0
2021-07-02 04:00:00,16.731,12.0,96.0,9.4
2021-07-02 04:30:00,29.664,11.9,96.0,9.4
2021-07-02 05:00:00,55.944,11.5,97.0,9.4
2021-07-02 05:30:00,89.036,11.7,98.0,9.4
2021-07-02 06:00:00,137.081,12.2,98.0,11.2
