datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h
2021-07-01 00:00:00,106.314,13.7,96.0,13.0
2021-07-01 00:30:00,103.935,13.2,96.0,9.4
2021-07-01 01:00:00,106.219,13.3,97.0,11.2
2021-07-01 01:30:00,69.108,13.2,97.0,7.6
2021-07-01 02:00:00,58.221,12.9,98.0,7.6
2021-07-01 02:30:00,48.931,12.6,98.0,0.0
2021-07-01 03:00:00,38.246,12.3,98.0,7.6
2021-07-01 03:30:00,65.024,12.1,98.0,7.6
2021-07-01 04:00:00,69.596,11.7,98.0,11.2
2021-07-01 04:30:00,78.54,11.7,99.0,9.4
2021-07-01 05:00:00,93.124,11.3,99.0,11.2
2021-07-01 05:30:00,114.927,11.1,99.0,9.4
2021-07-01 06:00:00,137.47,11.1,99.0,11.2
2021-07-01 06:30:00,147.906,10.6,99.0,7.6
2021-07-01 07:00:00,157.166,10.9,99.0,7.6
2021-07-01 07:30:00,181.254,11.3,99.0,0.0
2021-07-01 08:00:00,166.137,11.7,99.0,7.6
2021-07-01 08:30:00,153.65,11.9,97.0,11.2
2021-07-01 09:00:00,118.761,12.3,96.0,13.0
2021-07-01 09:30:00,108.554,12.9,96.0,13.0
2021-07-01 10:00:00,103.406,13.3,95.0,9.4
2021-07-01 10:30:00,79.001,13.4,94.0,9.4
2021-07-01 11:00:00,80.467,14.1,93.0,9.4
2021-07-01 11:30:00,49.429,14.4,90.0,9.4
2021-07-01 12:00:00,24.115,15.1,88.0,9.4
2021-07-01 12:30:00,-3.335,15.9,83.0,9.4
2021-07-01 13:00:00,-4.564,15.1,82.0,5.4
2021-07-01 13:30:00,46.616,15.3,84.0,7.6
2021-07-01 14:00:00,82.484,15.4,85.0,7.6
2021-07-01 14:30:00,109.251,16.2,79.0,9.4
2021-07-01 15:00:00,128.516,16.0,81.0,7.6
2021-07-01 15:30:00,147.112,16.6,74.0,13.0
2021-07-01 16:00:00,149.232,16.7,75.0,13.0
2021-07-01 16:30:00,177.233,16.5,77.0,13.0
2021-07-01 17:00:00,183.557,16.1,80.0,9.4
2021-07-01 17:30:00,192.689,16.1,80.0,9.4
2021-07-01 18:00:00,186.871,16.2,80.0,9.4
2021-07-01 18:30:00,169.649,16.1,81.0,9.4
2021-07-01 19:00:00,174.441,15.8,83.0,11.2
2021-07-01 19:30:00,184.389,15.7,85.0,13.0
2021-07-01 20:00:00,166.089,14.7,90.0,13.0
2021-07-01 20:30:00,157.419,14.7,91.0,5.4
2021-07-01 21:00:00,159.742,14.2,93.0,13.0
2021-07-01 21:30:00,170.009,14.3,95.0,7.6
2021-07-01 22:00:00,168.77,14.3,95.0,11.2
2021-07-01 22:30:00,157.037,14.1,95.0,13.0
2021-07-01 23:00:00,128.944,13.7,96.0,13.0
2021-07-01 23:30:00,114.011,13.5,96.0,11.2
2021-07-02 00:00:00,93.268,13.4,96.0,9.4
2021-07-02 00:30:00,51.626,13.4,96.0,9.4
2021-07-02 01:00:00,26.63,13.2,96.0,9.4
2021-07-02 01:30:00,13.261,13.0,95.0,9.4
2021-07-02 02:00:00,13.476,12.6,95.0,9.4
2021-07-02 02:30:00,3.051,12.4,96.0,7.6
2021-07-02 03:00:00,8.731,12.6,96.0,5.4
2021-07-02 03:30:00,5.023,12.5,96.0,0.0
2021-07-02 04:00:00,3.015,12.0,96.0,9.4
2021-07-02 04:30:00,15.989,11.9,96.0,9.4
2021-07-02 05:00:00,41.288,11.5,97.0,9.4
2021-07-02 05:30:00,70.746,11.7,98.0,9.4
2021-07-02 06:00:00,115.526,12.2,98.0,11.2
2021-07-02 06:30:00,132.909,12.5,97.0,13.0
2021-07-02 07:00:00,142.137,12.8,96.0,13.0
2021-07-02 07:30:00,143.769,12.7,95.0,14.8
2021-07-02 08:00:00,129.087,12.7,95.0,14.8
2021-07-02 08:30:00,94.854,12.7,93.0,11.2
2021-07-02 09:00:00,73.642,13.4,91.0,11.2
2021-07-02 09:30:00,45.048,13.1,91.0,11.2
2021-07-02 10:00:00,8.793,13.5,91.0,14.8
2021-07-02 10:30:00,-30.905,14.0,87.0,14.8
2021-07-02 11:00:00,-91.285,15.0,83.0,16.6
2021-07-02 11:30:00,-115.481,15.5,79.0,16.6
2021-07-02 12:00:00,-126.007,15.8,78.0,13.0
2021-07-02 12:30:00,-132.832,17.3,73.0,14.8
2021-07-02 13:00:00,-123.792,18.1,68.0,9.4
2021-07-02 13:30:00,-115.831,19.0,66.0,9.4
2021-07-02 14:00:00,-75.082,19.7,64.0,7.6
2021-07-02 14:30:00,-24.063,18.0,70.0,9.4
2021-07-02 15:00:00,26.479,16.6,81.0,9.4
2021-07-02 15:30:00,58.802,18.2,74.0,7.6
2021-07-02 16:00:00,103.102,16.4,81.0,7.6
2021-07-02 16:30:00,130.34,16.9,78.0,9.4
2021-07-02 17:00:00,145.103,16.6,82.0,9.4
2021-07-02 17:30:00,150.223,15.5,85.0,7.6
2021-07-02 18:00:00,174.604,15.4,86.0,3.6
2021-07-02 18:30:00,179.09,16.4,80.0,7.6
2021-07-02 19:00:00,170.024,15.8,75.0,0.0
2021-07-02 19:30:00,168.921,16.2,68.0,9.4
2021-07-02 20:00:00,165.036,15.8,68.0,16.6
2021-07-02 20:30:00,164.467,14.6,71.0,16.6
2021-07-02 21:00:00,167.679,14.7,71.0,13.0
2021-07-02 21:30:00,166.382,14.4,73.0,18.4
2021-07-02 22:00:00,153.567,13.6,76.0,14.8
2021-07-02 22:30:00,139.558,13.1,78.0,11.2
2021-07-02 23:00:00,121.604,12.9,78.0,11.2
2021-07-02 23:30:00,91.258,12.6,78.0,13.0
2021-07-03 00:00:00,85.274,12.2,81.0,13.0
2021-07-03 00:30:00,52.249,11.7,81.0,13.0
2021-07-03 01:00:00,30.591,11.6,82.0,16.6
2021-07-03 01:30:00,7.043,11.6,80.0,13.0
2021-07-03 02:00:00,10.988,11.5,79.0,13.0
2021-07-03 02:30:00,-2.95,11.3,79.0,14.8
2021-07-03 03:00:00,-2.551,10.7,82.0,13.0
2021-07-03 03:30:00,5.01,10.6,82.0,13.0
2021-07-03 04:00:00,26.629,9.8,85.0,20.5
2021-07-03 04:30:00,34.914,9.9,86.0,20.5
2021-07-03 05:00:00,68.291,9.4,86.0,7.6
2021-07-03 05:30:00,96.3,9.1,88.0,14.8
2021-07-03 06:00:00,112.118,9.0,88.0,11.2
2021-07-03 06:30:00,156.629,9.5,86.0,14.8
2021-07-03 07:00:00,165.974,9.7,85.0,16.6
2021-07-03 07:30:00,170.124,9.5,86.0,13.0
2021-07-03 08:00:00,157.796,10.0,83.0,18.4
2021-07-03 08:30:00,71.296,10.8,78.0,13.0
2021-07-03 09:00:00,28.253,12.3,72.0,14.8
2021-07-03 09:30:00,-24.919,13.4,69.0,13.0
2021-07-03 10:00:00,-66.245,14.4,63.0,13.0
2021-07-03 10:30:00,-92.739,15.3,61.0,14.8
2021-07-03 11:00:00,-117.947,16.1,60.0,16.6
2021-07-03 11:30:00,-147.177,17.6,55.0,13.0
2021-07-03 12:00:00,-131.368,17.9,56.0,11.2
2021-07-03 12:30:00,-126.721,17.6,53.0,7.6
2021-07-03 13:00:00,-100.519,19.3,48.0,9.4
2021-07-03 13:30:00,-101.958,19.4,42.0,3.6
2021-07-03 14:00:00,-72.804,17.6,49.0,7.6
2021-07-03 14:30:00,-21.736,19.6,42.0,5.4
2021-07-03 15:00:00,32.359,20.0,40.0,9.4
2021-07-03 15:30:00,58.555,16.7,65.0,13.0
2021-07-03 16:00:00,102.816,17.4,57.0,7.6
2021-07-03 16:30:00,148.878,17.1,60.0,9.4
2021-07-03 17:00:00,162.162,16.4,62.0,11.2
2021-07-03 17:30:00,177.808,16.3,63.0,7.6
2021-07-03 18:00:00,190.953,16.2,65.0,11.2
2021-07-03 18:30:00,189.151,16.4,64.0,9.4
2021-07-03 19:00:00,182.413,15.6,66.0,5.4
2021-07-03 19:30:00,173.775,15.4,69.0,0.0
2021-07-03 20:00:00,180.618,14.2,69.0,18.4
2021-07-03 20:30:00,182.533,14.0,64.0,16.6
2021-07-03 21:00:00,165.213,13.2,66.0,13.0
2021-07-03 21:30:00,152.841,12.9,68.0,14.8
2021-07-03 22:00:00,158.247,12.6,69.0,13.0
2021-07-03 22:30:00,134.51,11.6,73.0,11.2
2021-07-03 23:00:00,116.176,11.0,79.0,14.8
2021-07-03 23:30:00,91.019,10.8,77.0,14.8
2021-07-04 00:00:00,74.057,10.7,74.0,13.0
2021-07-04 00:30:00,29.82,10.0,72.0,20.5
2021-07-04 01:00:00,3.939,10.2,64.0,25.9
2021-07-04 01:30:00,7.819,10.2,58.0,27.7
2021-07-04 02:00:00,3.422,9.7,59.0,18.4
2021-07-04 02:30:00,-3.624,9.3,61.0,14.8
2021-07-04 03:00:00,-10.366,9.3,59.0,18.4
2021-07-04 03:30:00,5.394,8.3,63.0,25.9
2021-07-04 04:00:00,16.302,9.1,60.0,16.6
2021-07-04 04:30:00,32.676,10.4,53.0,25.9
2021-07-04 05:00:00,53.366,9.4,57.0,14.8
2021-07-04 05:30:00,92.421,9.0,58.0,27.7
2021-07-04 06:00:00,121.636,9.0,58.0,24.1
2021-07-04 06:30:00,158.665,9.4,58.0,18.4
2021-07-04 07:00:00,185.463,9.0,61.0,16.6
2021-07-04 07:30:00,163.896,8.8,62.0,14.8
2021-07-04 08:00:00,126.201,8.9,63.0,13.0
2021-07-04 08:30:00,109.743,9.4,59.0,20.5
2021-07-04 09:00:00,71.589,10.5,57.0,11.2
2021-07-04 09:30:00,25.911,11.6,51.0,24.1
2021-07-04 10:00:00,-24.422,12.5,46.0,24.1
2021-07-04 10:30:00,-76.685,13.4,44.0,25.9
