datetime,netload_kW,air_temperature_in_degrees_c,relative_humidity_in_percentage,wind_speed_in_km_h
2021-07-01 00:00:00,10.0068014,13.7,96.0,13.0
2021-07-01 00:30:00,8.068568400000002,13.2,96.0,9.4
2021-07-01 01:00:00,7.0004362,13.3,97.0,11.2
2021-07-01 01:30:00,1.7400182000000006,13.2,97.0,7.6
2021-07-01 02:00:00,-0.9955950000000009,12.9,98.0,7.6
2021-07-01 02:30:00,0.6255371999999997,12.6,98.0,0.0
2021-07-01 03:00:00,1.5699024000000001,12.3,98.0,7.6
2021-07-01 03:30:00,5.427156600000001,12.1,98.0,7.6
2021-07-01 04:00:00,2.8962928,11.7,98.0,11.2
2021-07-01 04:30:00,3.3885332000000004,11.7,99.0,9.4
2021-07-01 05:00:00,2.8618486,11.3,99.0,11.2
2021-07-01 05:30:00,4.861024800000001,11.1,99.0,9.4
2021-07-01 06:00:00,9.205537600000001,11.1,99.0,11.2
2021-07-01 06:30:00,12.119690200000003,10.6,99.0,7.6
2021-07-01 07:00:00,9.476351399999999,10.9,99.0,7.6
2021-07-01 07:30:00,11.3283944,11.3,99.0,0.0
2021-07-01 08:00:00,12.039734200000002,11.7,99.0,7.6
2021-07-01 08:30:00,8.197463,11.9,97.0,11.2
2021-07-01 09:00:00,1.8140918,12.3,96.0,13.0
2021-07-01 09:30:00,5.569456400000001,12.9,96.0,13.0
2021-07-01 10:00:00,7.8850115999999995,13.3,95.0,9.4
2021-07-01 10:30:00,9.281014800000001,13.4,94.0,9.4
2021-07-01 11:00:00,13.216887600000002,14.1,93.0,9.4
2021-07-01 11:30:00,7.877674,14.4,90.0,9.4
2021-07-01 12:00:00,1.5302427999999995,15.1,88.0,9.4
2021-07-01 12:30:00,1.2710801999999999,15.9,83.0,9.4
2021-07-01 13:00:00,3.4021056,15.1,82.0,5.4
2021-07-01 13:30:00,3.6694228,15.3,84.0,7.6
2021-07-01 14:00:00,5.021948200000001,15.4,85.0,7.6
2021-07-01 14:30:00,5.6496372,16.2,79.0,9.4
2021-07-01 15:00:00,8.8058692,16.0,81.0,7.6
2021-07-01 15:30:00,7.9806532,16.6,74.0,13.0
2021-07-01 16:00:00,9.3854734,16.7,75.0,13.0
2021-07-01 16:30:00,8.6461938,16.5,77.0,13.0
2021-07-01 17:00:00,12.339578,16.1,80.0,9.4
2021-07-01 17:30:00,11.2487626,16.1,80.0,9.4
2021-07-01 18:00:00,13.2565764,16.2,80.0,9.4
2021-07-01 18:30:00,10.799405400000001,16.1,81.0,9.4
2021-07-01 19:00:00,11.086004799999998,15.8,83.0,11.2
2021-07-01 19:30:00,12.210642000000004,15.7,85.0,13.0
2021-07-01 20:00:00,11.4617426,14.7,90.0,13.0
2021-07-01 20:30:00,9.5675494,14.7,91.0,5.4
2021-07-01 21:00:00,11.3554148,14.2,93.0,13.0
2021-07-01 21:30:00,15.342693200000001,14.3,95.0,7.6
2021-07-01 22:00:00,14.914233,14.3,95.0,11.2
2021-07-01 22:30:00,13.350400800000003,14.1,95.0,13.0
2021-07-01 23:00:00,9.2693754,13.7,96.0,13.0
2021-07-01 23:30:00,5.923385799999999,13.5,96.0,11.2
2021-07-02 00:00:00,2.0724799999999997,13.4,96.0,9.4
2021-07-02 00:30:00,4.978330800000001,13.4,96.0,9.4
2021-07-02 01:00:00,0.22089720000000002,13.2,96.0,9.4
2021-07-02 01:30:00,-2.3661274000000008,13.0,95.0,9.4
2021-07-02 02:00:00,-2.0233448000000007,12.6,95.0,9.4
2021-07-02 02:30:00,-1.7094672000000002,12.4,96.0,7.6
2021-07-02 03:00:00,0.11585540000000027,12.6,96.0,5.4
2021-07-02 03:30:00,-2.5843102,12.5,96.0,0.0
2021-07-02 04:00:00,-4.3997492000000005,12.0,96.0,9.4
2021-07-02 04:30:00,-0.06433879999999981,11.9,96.0,9.4
2021-07-02 05:00:00,1.0138699999999998,11.5,97.0,9.4
2021-07-02 05:30:00,2.8822956,11.7,98.0,9.4
2021-07-02 06:00:00,12.863930800000002,12.2,98.0,11.2
2021-07-02 06:30:00,12.883114,12.5,97.0,13.0
2021-07-02 07:00:00,9.5905384,12.8,96.0,13.0
2021-07-02 07:30:00,8.633788,12.7,95.0,14.8
2021-07-02 08:00:00,10.4108688,12.7,95.0,14.8
2021-07-02 08:30:00,6.99938,12.7,93.0,11.2
2021-07-02 09:00:00,5.8105856,13.4,91.0,11.2
2021-07-02 09:30:00,3.8781610000000004,13.1,91.0,11.2
2021-07-02 10:00:00,11.624035999999998,13.5,91.0,14.8
2021-07-02 10:30:00,10.636385600000002,14.0,87.0,14.8
2021-07-02 11:00:00,6.9424041999999995,15.0,83.0,16.6
2021-07-02 11:30:00,-3.025333400000002,15.5,79.0,16.6
2021-07-02 12:00:00,-10.414426599999999,15.8,78.0,13.0
2021-07-02 12:30:00,-11.575388400000003,17.3,73.0,14.8
2021-07-02 13:00:00,-7.4737954,18.1,68.0,9.4
2021-07-02 13:30:00,-6.931693600000003,19.0,66.0,9.4
2021-07-02 14:00:00,-3.4488885999999996,19.7,64.0,7.6
2021-07-02 14:30:00,-0.6188608000000004,18.0,70.0,9.4
2021-07-02 15:00:00,3.9408830000000004,16.6,81.0,9.4
2021-07-02 15:30:00,3.702573,18.2,74.0,7.6
2021-07-02 16:00:00,4.5373472,16.4,81.0,7.6
2021-07-02 16:30:00,7.0910446,16.9,78.0,9.4
2021-07-02 17:00:00,12.402515000000003,16.6,82.0,9.4
2021-07-02 17:30:00,8.678483400000001,15.5,85.0,7.6
2021-07-02 18:00:00,8.501756199999999,15.4,86.0,3.6
2021-07-02 18:30:00,9.609627000000001,16.4,80.0,7.6
2021-07-02 19:00:00,8.4878924,15.8,75.0,0.0
2021-07-02 19:30:00,12.323908200000004,16.2,68.0,9.4
2021-07-02 20:00:00,12.697585,15.8,68.0,16.6
2021-07-02 20:30:00,9.6247328,14.6,71.0,16.6
2021-07-02 21:00:00,15.658738999999999,14.7,71.0,13.0
2021-07-02 21:30:00,14.675252600000002,14.4,73.0,18.4
2021-07-02 22:00:00,16.034312,13.6,76.0,14.8
2021-07-02 22:30:00,15.461403200000001,13.1,78.0,11.2
