experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev
E00001_260526_ds22_fh1440_m1_naive_hp1,E00001,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,1.6161203384399414,7.984899999999999,0.1902019102602983,7.8362,1.6280198469988696,5.806356681236613,0.1383085739863802,5.698226931521541,1.1838424921799515
E00002_260526_ds22_fh1440_m2_snaive_hp2,E00002,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,7.235598564147949,9.4166,0.2279274738449344,9.203500000000002,2.111632767420615,6.847441837033988,0.1657413631475557,6.692482525236531,1.5355099033714692
E00003_260526_ds22_fh1440_m3_ets_hp1,E00003,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,423.047399520874,5.2509,0.2974231740205266,7.673111111111112,1.6378806767011789,3.818281794074482,0.2162763508157503,5.579634055012698,1.1910129632471589
E00004_260526_ds22_fh1440_m4_arima_hp1,E00004,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,1521.9160556793213,5.1497,0.3087883309539616,14.40011111111111,2.409768736022424,3.744692482230733,0.2245407191727433,10.47128722470533,1.75230457496511
E00005_260526_ds22_fh1440_m6_lr_hp1,E00005,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,293.4429883956909,6.646599999999999,0.1557442347782629,6.581799999999999,1.3811586762167805,4.833188933800958,0.1132520855826433,4.786068504873341,1.0043331672906637
E00006_260526_ds22_fh1440_m7_ann_hp1,E00006,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,6478.916692733765,7.5622,0.1519026003727389,7.5067,1.6530548858267096,5.49898314253748,0.1104585753824678,5.458625367761511,1.202047149090251
E00007_260526_ds22_fh1440_m8_dnn_hp1,E00007,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,7726.889491081238,7.284899999999999,0.149582715876163,7.2433,1.5421748027452085,5.297339702080253,0.1087716316704124,5.2670895501761015,1.1214187991777478
E00008_260526_ds22_fh1440_m9_rt_hp3,E00008,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,490.87114334106445,2.8398000000000003,0.1925275160709358,9.6494,1.7581560542543175,2.0650091677260503,0.1399996780498651,7.016726340959133,1.278473262317143
E00009_260526_ds22_fh1440_m10_rf_hp1,E00009,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,129719.81818675996,7.135599999999999,0.1474736888020668,7.1821,1.4246649859606373,5.18877365209733,0.1072380165415335,5.222586922855575,1.0359695249478906
E00010_260526_ds22_fh1440_m13_lstm_hp2,E00010,2026-05-26,ds22,sa,30,40,1440,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,2387776.580953598,15.127,0.3113204851024818,15.0492,2.7633325613187503,10.999856919568968,0.2263820183947973,10.943283318171304,2.009404561095544
