experiment_no,exp_date,dataset_no,dataset_label,forecast_horizon_min,model_no,hyperparameter_no,model_name,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev,result_source
E00252,2025-06-25,ds11,AEDP_148hh_weather,1440,m1,hp1,m1_naive_hp1,1.353359222412109,67.7779,1.016456092946909,67.2124,9.26323108016012,24.50234619583686,0.3674584057967698,24.29791264487488,3.348744868432324,ch5_data_xlsx_3.3.1_dataset
E00253,2025-06-25,ds11,AEDP_148hh_weather,1440,m2,hp2,m2_snaive_hp2,1.891875267028809,83.8323,1.293469327042586,83.0592,12.044572911574,30.30616228878815,0.4676012866272571,30.02667939179663,4.354226012614508,ch5_data_xlsx_3.3.1_dataset
E00254,2025-06-25,ds11,AEDP_148hh_weather,1440,m3,hp1,m3_ets_hp1,688.4125471115112,26.3894,0.5935865002957316,66.89722222222223,9.768205781741315,9.540015472601205,0.2145870840999976,24.18397292375125,3.531297956655503,ch5_data_xlsx_3.3.1_dataset
E00255,2025-06-25,ds11,AEDP_148hh_weather,1440,m4,hp1,m4_arima_hp1,2549.559736251831,21.2347,0.3271649431097406,102.4071111111111,11.38564841636659,7.676543102762655,0.1182731937580852,37.02113062458376,4.116018630879622,ch5_data_xlsx_3.3.1_dataset
E00256,2025-06-25,ds11,AEDP_148hh_weather,1440,m6,hp1,m6_lr_hp1,1005.858683586121,57.9603,0.8397483816265701,57.9539,7.774553884307448,20.9531917662625,0.3035769117073251,20.95087810626929,2.810574107363746,ch5_data_xlsx_3.3.1_dataset
E00257,2025-06-25,ds11,AEDP_148hh_weather,1440,m7,hp1,m7_ann_hp1,12990.40250778198,53.5689,0.594756616889073,56.3744,6.895516662618142,19.36565950155088,0.215010092217091,20.37987405013412,2.492793911682588,ch5_data_xlsx_3.3.1_dataset
E00258,2025-06-25,ds11,AEDP_148hh_weather,1440,m8,hp1,m8_dnn_hp1,15093.09074878693,53.30370000000001,0.6064118604087868,56.4515,6.728315907004102,19.2697872155825,0.2192235720049984,20.40774642286474,2.432349271198585,ch5_data_xlsx_3.3.1_dataset
E00259,2025-06-25,ds11,AEDP_148hh_weather,1440,m9,hp3,m9_rt_hp3,1332.128405570984,28.3297,1.041775093023654,72.80900000000001,7.404831005649097,10.24145211085324,0.3766114616632519,26.32113600705667,2.676915820969388,ch5_data_xlsx_3.3.1_dataset
E00260,2025-06-25,ds11,AEDP_148hh_weather,1440,m10,hp1,m10_rf_hp1,510743.6210155487,59.5481,0.7093814911597291,60.5591,7.242960957601064,21.52719635020136,0.256448058752405,21.89268232725275,2.618398281240218,ch5_data_xlsx_3.3.1_dataset
E00261,2025-06-26,ds11,AEDP_148hh_weather,1440,m13,hp2,m13_lstm_hp2,4190820.451402664,68.0602,1.246237608876323,71.6874,8.407478816175777,24.60440029209957,0.4505265777629525,25.91566709324773,3.039382403233259,ch5_data_xlsx_3.3.1_dataset
E00262,2025-06-26,ds11,AEDP_148hh_weather,1440,m16,hp1,m16_prophet_hp1,480391.6172504425,53.5241,1.586137408227224,92.473,8.741746321530956,19.34946388159845,0.5734035414279698,33.42985633617479,3.16022323982205,ch5_data_xlsx_3.3.1_dataset
E00263,2025-06-26,ds11,AEDP_148hh_weather,1440,m17,hp1,m17_xgb_hp1,35184.3115568161,22.5888,0.5045404509716411,49.1725,6.678267593886575,8.166062946012191,0.1823961025571877,17.77631968996956,2.414256336856812,ch5_data_xlsx_3.3.1_dataset
E00051,2026-05-16,ds20,ASHD_148hh_weather,1440,m1,hp1,m1_naive_hp1,2.5399208068847656,34.258300000000006,0.3722556021517118,34.1082,3.394064191103836,9.13140709545006,0.0992231793991293,9.09139856598342,0.9046736655659656,publication_journal_article_1_experiment_result
E00052,2026-05-16,ds20,ASHD_148hh_weather,1440,m2,hp2,m2_snaive_hp2,2.675175666809082,41.2352,0.4201668451672231,41.0916,3.647252091948432,10.991070714609377,0.1119937215574869,10.952794733054349,0.9721598453896716,publication_journal_article_1_experiment_result
E00053,2026-05-16,ds20,ASHD_148hh_weather,1440,m3,hp1,m3_ets_hp1,686.5288257598877,16.4778,0.7907901533698224,34.29822222222222,3.54288613907425,4.3920889196897415,0.2107818198069735,9.142048197409768,0.944341535590332,publication_journal_article_1_experiment_result
E00054,2026-05-16,ds20,ASHD_148hh_weather,1440,m4,hp1,m4_arima_hp1,2102.5429010391235,13.9944,0.5492850302388045,60.69855555555556,7.4314511724008385,3.7301489991203978,0.1464096356954993,16.178947025496583,1.98082233984616,publication_journal_article_1_experiment_result
E00055,2026-05-16,ds20,ASHD_148hh_weather,1440,m6,hp1,m6_lr_hp1,562.9936456680298,29.001699999999992,0.2854949114160257,29.1234,2.537491114379625,7.730282272036677,0.0760974788538596,7.762720899858732,0.6763576816855359,publication_journal_article_1_experiment_result
E00056,2026-05-16,ds20,ASHD_148hh_weather,1440,m7,hp1,m7_ann_hp1,11336.906433105469,30.144300000000005,0.3074609460294649,30.5762,2.9160200730904906,8.034837540315058,0.0819524338378509,8.149958685395953,0.7772529981316445,publication_journal_article_1_experiment_result
E00057,2026-05-16,ds20,ASHD_148hh_weather,1440,m8,hp1,m8_dnn_hp1,13962.168169021606,27.5644,0.381608933042424,28.8502,2.5160172142142083,7.347175946904071,0.1017162707685644,7.689900578404456,0.6706339030877226,publication_journal_article_1_experiment_result
E00058,2026-05-16,ds20,ASHD_148hh_weather,1440,m9,hp3,m9_rt_hp3,1307.3566913604736,16.3901,1.1905821591884271,37.97420000000001,2.86408417784425,4.368712850174587,0.3173447128470897,10.12186475464456,0.7634097016936986,publication_journal_article_1_experiment_result
E00059,2026-05-16,ds20,ASHD_148hh_weather,1440,m10,hp1,m10_rf_hp1,502763.4161710739,31.1543,0.2343298008268588,31.8525,1.8978363265103293,8.304048831196523,0.062459631854055,8.490151131487059,0.505860363704542,publication_journal_article_1_experiment_result
E00060,2026-05-16,ds20,ASHD_148hh_weather,1440,m13,hp2,m13_lstm_hp2,2434233.343744278,35.2407,0.8184975463208997,37.1558,5.5107870540926855,9.393261721352989,0.2181671099290723,9.903723645280806,1.4688773233714547,publication_journal_article_1_experiment_result
E00061,2026-05-16,ds20,ASHD_148hh_weather,1440,m16,hp1,m16_prophet_hp1,411948.84247779846,28.0572,2.201826403491227,34.562222222222225,4.116790278171145,7.478529733187621,0.5868876518621496,9.212416297204523,1.0973132921531956,publication_journal_article_1_experiment_result
E00062,2026-05-16,ds20,ASHD_148hh_weather,1440,m17,hp1,m17_xgb_hp1,22343.80705356598,10.3046,0.1312437935040487,22.8374,2.0488401163151364,2.7466481861556096,0.0349824862073323,6.087213796412293,0.5461097945771615,publication_journal_article_1_experiment_result
