experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev,horizon_label,dataset_label
E00039_260515_ds20_fh30_m1_naive_hp1,E00039,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,3.476572036743164,15.9643,0.229379864465524,15.8506,2.0183245086512285,4.255217634672282,0.0611402469455244,4.224911373510676,0.5379759865264356,30_min,ASHD_148hh_weather
E00040_260515_ds20_fh30_m2_snaive_hp2,E00040,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,4.390096664428711,41.2104,0.4171658876008172,41.067,3.645804895127183,10.984460377961993,0.1111938288244845,10.946237705573472,0.9717741011080796,30_min,ASHD_148hh_weather
E00041_260515_ds20_fh30_m3_ets_hp1,E00041,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,757.2144269943237,16.4744,0.7841107064694371,15.556666666666665,1.8984942059432257,4.391182663859051,0.2090014410718972,4.146564668461408,0.5060357187257044,30_min,ASHD_148hh_weather
E00042_260515_ds20_fh30_m4_arima_hp1,E00042,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,2247.1263885498047,13.990499999999995,0.5444181909769976,13.345222222222224,1.2763581763926783,3.72910947037343,0.1451123999725452,3.5571133678658264,0.3402079527661269,30_min,ASHD_148hh_weather
E00043_260515_ds20_fh30_m6_lr_hp1,E00043,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,546.9522953033447,9.9558,0.0739471282591676,9.9688,0.6778499997951037,2.6536769997601084,0.0197102988669583,2.657142095583336,0.180678092543408,30_min,ASHD_148hh_weather
E00044_260515_ds20_fh30_m7_ann_hp1,E00044,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,13050.67219734192,24.406,0.3659186309064413,24.504,3.3699479389318627,6.50531758935949,0.0975340861226752,6.531439080949968,0.8982455790526594,30_min,ASHD_148hh_weather
E00045_260515_ds20_fh30_m8_dnn_hp1,E00045,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,15640.74432849884,15.217499999999998,0.1236898001723127,15.5247,0.971329106602563,4.056161206919529,0.032969000765603,4.138044086680705,0.2589037254051665,30_min,ASHD_148hh_weather
E00046_260515_ds20_fh30_m9_rt_hp3,E00046,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,1300.6985187530518,10.9218,0.9877805424283268,27.954700000000003,3.573444869217004,2.911160274009116,0.2632887870640849,7.45120878535064,0.952486837758084,30_min,ASHD_148hh_weather
E00047_260515_ds20_fh30_m10_rf_hp1,E00047,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,503157.3150157929,18.3087,0.4699427979375084,18.6361,1.9803056694471304,4.880107684516352,0.1252612943299061,4.967374790095156,0.5278422233779698,30_min,ASHD_148hh_weather
E00048_260515_ds20_fh30_m13_lstm_hp2,E00048,2026-05-16,ds20,ashd,30,140,30,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,2367991.6771650314,33.629000000000005,1.686116840554059,35.59410000000001,5.749389831393705,8.96366980302263,0.4494274170520186,9.487459018578244,1.5324758992973064,30_min,ASHD_148hh_weather
