edp_site_id,postcode,state,lat,long,cluster,lat_deg,long_deg,date_of_first_data,date_of_last_data,number_of_days
S0405,2282,NSW,-0.5754786876138303,2.646838934539205,2,-32.9725,151.6527,2021-06-28,2024-07-12,1110
W0013,2226,NSW,-0.5934014737025601,2.636562435903462,2,-33.9994,151.0639,2020-10-13,2024-07-12,1368
S0321,2322,NSW,-0.5723475669357525,2.647261304218187,2,-32.7931,151.6769,2021-06-03,2024-07-13,1136
S0431,2284,NSW,-0.5756200592832419,2.646240286605771,2,-32.9806,151.6184,2021-05-27,2024-07-16,1146
S0170,2307,NSW,-0.5738433141047116,2.647507395642719,2,-32.8788,151.691,2021-03-08,2024-07-16,1226
S0517,2150,NSW,-0.5902319557809383,2.635508257035257,2,-33.8178,151.0035,2019-01-01,2024-07-31,2039
S0358,2325,NSW,-0.5740161017006591,2.640389942953085,2,-32.8887,151.2832,2019-01-01,2024-08-02,2040
W0114,2234,NSW,-0.5940071029530022,2.635654864692425,2,-34.0341,151.0119,2021-04-08,2024-08-06,1216
S0185,2065,NSW,-0.5903698367918458,2.638817401297038,2,-33.8257,151.1931,2019-01-01,2024-08-30,2069
S0316,2323,NSW,-0.5730003200759983,2.644718359498032,2,-32.8305,151.5312,2019-01-01,2024-08-30,2069
S0396,2325,NSW,-0.5740161017006591,2.640389942953085,2,-32.8887,151.2832,2019-01-01,2024-08-30,2069
S0334,2008,NSW,-0.5914344876355624,2.638894195784126,2,-33.8867,151.1975,2019-01-01,2024-08-30,2069
S0533,2316,NSW,-0.572220157900357,2.654464278041168,2,-32.7858,152.0896,2019-01-01,2024-08-30,2069
S0425,2750,NSW,-0.5894587749223049,2.630118680305099,2,-33.77350000000001,150.6947,2019-01-01,2024-08-30,2069
S0191,2577,NSW,-0.6047635671330431,2.629315828849181,2,-34.6504,150.6487,2019-01-01,2024-08-30,2069
S0295,2330,NSW,-0.5696353252781533,2.637070326715792,2,-32.6377,151.093,2019-01-01,2024-08-30,2069
S0209,2151,NSW,-0.5894360856420289,2.635747367142781,2,-33.7722,151.0172,2019-01-01,2024-08-30,2069
S0212,2106,NSW,-0.5874149943682195,2.6409275043627,2,-33.6564,151.314,2019-01-01,2024-08-30,2069
S0158,2155,NSW,-0.5881742125928371,2.634419171582013,2,-33.6999,150.9411,2019-01-01,2024-08-30,2069
S0571,2100,NSW,-0.5893383472039172,2.639807002982919,2,-33.7666,151.2498,2019-01-01,2024-08-30,2069
S0349,2048,NSW,-0.59156364200021,2.638313001143212,2,-33.8941,151.1642,2019-03-12,2024-08-30,1998
S0156,2142,NSW,-0.5902651170367262,2.635907937433964,2,-33.8197,151.0264,2019-04-08,2024-08-30,1971
S0380,2320,NSW,-0.5712253202267201,2.644775955363348,2,-32.7288,151.5345,2019-08-01,2024-08-30,1856
S0562,2155,NSW,-0.5881742125928371,2.634419171582013,2,-33.6999,150.9411,2020-01-09,2024-08-30,1696
S0558,2322,NSW,-0.5723475669357525,2.647261304218187,2,-32.7931,151.6769,2020-04-24,2024-08-30,1590
S0179,2285,NSW,-0.5751680190069753,2.64704488339094,2,-32.9547,151.6645,2019-01-01,2024-08-30,2069
S0413,2225,NSW,-0.5934835041774038,2.636771875413701,2,-34.0041,151.0759,2019-01-01,2024-08-30,2069
S0135,2321,NSW,-0.5723074243629566,2.644442597476216,2,-32.7908,151.5154,2019-01-01,2024-08-30,2069
S0177,2121,NSW,-0.5892126834977737,2.637061600069532,2,-33.7594,151.0925,2019-01-01,2024-08-30,2069
S0530,2125,NSW,-0.5889735733902505,2.636277947235387,2,-33.7457,151.0476,2019-01-01,2024-08-30,2069
S0579,2291,NSW,-0.5748800396803962,2.648695964863327,2,-32.9382,151.7591,2019-01-01,2024-08-30,2069
S0162,2073,NSW,-0.5889421574637145,2.637923792720017,2,-33.7439,151.1419,2019-01-01,2024-08-30,2069
S0310,2077,NSW,-0.5882178458241368,2.637180282458668,2,-33.7024,151.0993,2019-01-01,2024-08-30,2069
S0195,2752,NSW,-0.5919319064723808,2.628633405111652,2,-33.9152,150.6096,2019-01-01,2024-08-30,2069
S0244,2087,NSW,-0.5894762282148249,2.639292130853581,2,-33.7745,151.2203,2019-01-01,2024-08-30,2069
S0596,2203,NSW,-0.5917381749254095,2.637880159488718,2,-33.9041,151.1394,2019-01-01,2024-08-30,2069
S0256,2765,NSW,-0.5862944929884392,2.634047416451338,2,-33.5922,150.9198,2021-04-29,2024-08-30,1219
S0585,2097,NSW,-0.5887344632827273,2.640704102218444,2,-33.732,151.3012,2019-01-01,2024-08-30,2069
S0598,2131,NSW,-0.5914624129035944,2.637588689503635,2,-33.8883,151.1227,2020-11-29,2024-08-31,1371
W0015,2785,NSW,-0.5887571525630032,2.62235720112148,2,-33.7333,150.25,2020-12-21,2024-09-05,1354
W0084,2300,NSW,-0.5747281960354726,2.649062484006246,2,-32.9295,151.7801,2020-11-05,2024-09-26,1421
W0179,2117,NSW,-0.5897170836516,2.636365213697987,2,-33.7883,151.0526,2021-05-19,2024-09-26,1226
S0478,2322,NSW,-0.5723475669357525,2.647261304218187,2,-32.7931,151.6769,2020-01-24,2024-09-30,1712
