dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight
ds25,1,1,W0250,1
ds26,1,2,S0478,1
ds27,1,3,S0596,1
ds28,10,1,S0135,1
ds28,10,1,S0216,1
ds28,10,1,S0459,1
ds28,10,1,S0569,1
ds28,10,1,S0571,1
ds28,10,1,W0027,1
ds28,10,1,W0094,1
ds28,10,1,W0142,1
ds28,10,1,W0324,1
ds28,10,1,W0336,1
ds29,10,2,S0191,1
ds29,10,2,S0337,1
ds29,10,2,S0544,1
ds29,10,2,S0570,1
ds29,10,2,S0596,1
ds29,10,2,W0027,1
ds29,10,2,W0031,1
ds29,10,2,W0070,1
ds29,10,2,W0199,1
ds29,10,2,W0336,1
ds30,10,3,S0177,1
ds30,10,3,S0191,1
ds30,10,3,S0212,1
ds30,10,3,S0295,1
ds30,10,3,S0335,1
ds30,10,3,S0366,1
ds30,10,3,S0406,1
ds30,10,3,S0494,1
ds30,10,3,S0524,1
ds30,10,3,W0042,1
ds31,100,1,S0120,1
ds31,100,1,S0158,1
ds31,100,1,S0170,1
ds31,100,1,S0172,1
ds31,100,1,S0179,1
ds31,100,1,S0185,1
ds31,100,1,S0209,1
ds31,100,1,S0212,1
ds31,100,1,S0217,1
ds31,100,1,S0244,1
ds31,100,1,S0247,1
ds31,100,1,S0259,1
ds31,100,1,S0273,1
ds31,100,1,S0295,1
ds31,100,1,S0299,1
ds31,100,1,S0316,1
ds31,100,1,S0321,1
ds31,100,1,S0334,1
ds31,100,1,S0335,1
ds31,100,1,S0337,1
ds31,100,1,S0345,1
ds31,100,1,S0347,1
ds31,100,1,S0349,1
ds31,100,1,S0350,1
ds31,100,1,S0366,1
ds31,100,1,S0367,1
ds31,100,1,S0374,1
ds31,100,1,S0380,1
ds31,100,1,S0393,1
ds31,100,1,S0405,1
ds31,100,1,S0406,1
ds31,100,1,S0413,1
ds31,100,1,S0417,1
ds31,100,1,S0428,1
ds31,100,1,S0431,1
ds31,100,1,S0443,1
ds31,100,1,S0444,1
ds31,100,1,S0450,1
ds31,100,1,S0452,1
ds31,100,1,S0455,1
ds31,100,1,S0459,1
ds31,100,1,S0487,1
ds31,100,1,S0494,1
ds31,100,1,S0524,1
ds31,100,1,S0530,1
ds31,100,1,S0532,1
ds31,100,1,S0533,1
ds31,100,1,S0538,1
ds31,100,1,S0544,1
ds31,100,1,S0562,1
ds31,100,1,S0569,1
ds31,100,1,S0570,1
ds31,100,1,S0571,1
ds31,100,1,S0579,1
ds31,100,1,S0585,1
ds31,100,1,S0588,1
ds31,100,1,S0596,1
ds31,100,1,S0598,1
ds31,100,1,S0600,1
ds31,100,1,W0001,1
ds31,100,1,W0008,1
ds31,100,1,W0011,1
ds31,100,1,W0018,1
ds31,100,1,W0024,1
ds31,100,1,W0027,1
ds31,100,1,W0037,1
ds31,100,1,W0047,1
ds31,100,1,W0073,1
ds31,100,1,W0075,1
ds31,100,1,W0077,1
ds31,100,1,W0079,1
ds31,100,1,W0081,1
ds31,100,1,W0092,1
ds31,100,1,W0094,1
ds31,100,1,W0097,1
ds31,100,1,W0114,1
ds31,100,1,W0118,1
ds31,100,1,W0124,1
ds31,100,1,W0142,1
ds31,100,1,W0155,1
ds31,100,1,W0175,1
ds31,100,1,W0182,1
ds31,100,1,W0183,1
ds31,100,1,W0195,1
ds31,100,1,W0198,1
