dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight,postcode,state,lat_deg,long_deg
ds25,1,1,W0250,1,2080,NSW,-33.642,151.1287
ds26,1,2,S0478,1,2322,NSW,-32.7931,151.6769
ds27,1,3,S0596,1,2203,NSW,-33.9041,151.1394
ds28,10,1,S0135,1,2321,NSW,-32.7908,151.5154
ds28,10,1,S0216,1,2289,NSW,-32.9428,151.6958
ds28,10,1,S0459,1,2753,NSW,-33.5996,150.7514
ds28,10,1,S0569,1,2110,NSW,-33.8343,151.1459
ds28,10,1,S0571,1,2100,NSW,-33.7666,151.2498
ds28,10,1,W0027,1,2008,NSW,-33.8867,151.1975
ds28,10,1,W0094,1,2113,NSW,-33.7956,151.126
ds28,10,1,W0142,1,2519,NSW,-34.3887,150.8938
ds28,10,1,W0324,1,2170,NSW,-33.9522,150.8995
ds28,10,1,W0336,1,2065,NSW,-33.8257,151.1931
ds29,10,2,S0191,1,2577,NSW,-34.6504,150.6487
ds29,10,2,S0337,1,2227,NSW,-34.0521,151.088
ds29,10,2,S0544,1,2250,NSW,-33.20500000000001,151.1759
ds29,10,2,S0570,1,2285,NSW,-32.9547,151.6645
ds29,10,2,S0596,1,2203,NSW,-33.9041,151.1394
ds29,10,2,W0027,1,2008,NSW,-33.8867,151.1975
ds29,10,2,W0031,1,2784,NSW,-33.7292,150.4177
ds29,10,2,W0070,1,2323,NSW,-32.8305,151.5312
ds29,10,2,W0199,1,2530,NSW,-34.543,150.793
ds29,10,2,W0336,1,2065,NSW,-33.8257,151.1931
ds30,10,3,S0177,1,2121,NSW,-33.7594,151.0925
ds30,10,3,S0191,1,2577,NSW,-34.6504,150.6487
ds30,10,3,S0212,1,2106,NSW,-33.6564,151.314
ds30,10,3,S0295,1,2330,NSW,-32.6377,151.093
ds30,10,3,S0335,1,2760,NSW,-33.7328,150.791
ds30,10,3,S0366,1,2334,NSW,-32.6778,151.3892
ds30,10,3,S0406,1,2147,NSW,-33.7833,150.9333
ds30,10,3,S0494,1,2280,NSW,-33.0493,151.6569
ds30,10,3,S0524,1,2324,NSW,-32.6478,151.7616
ds30,10,3,W0042,1,2082,NSW,-33.6035,151.1202
ds31,100,1,S0120,1,2073,NSW,-33.7439,151.1419
ds31,100,1,S0158,1,2155,NSW,-33.6999,150.9411
ds31,100,1,S0170,1,2307,NSW,-32.8788,151.691
ds31,100,1,S0172,1,2070,NSW,-33.7833,151.1667
ds31,100,1,S0179,1,2285,NSW,-32.9547,151.6645
ds31,100,1,S0185,1,2065,NSW,-33.8257,151.1931
ds31,100,1,S0209,1,2151,NSW,-33.7722,151.0172
ds31,100,1,S0212,1,2106,NSW,-33.6564,151.314
ds31,100,1,S0217,1,2121,NSW,-33.7594,151.0925
ds31,100,1,S0244,1,2087,NSW,-33.7745,151.2203
ds31,100,1,S0247,1,2508,NSW,-34.2377,150.9195
ds31,100,1,S0259,1,2155,NSW,-33.6999,150.9411
ds31,100,1,S0273,1,2569,NSW,-34.185,150.7145
ds31,100,1,S0295,1,2330,NSW,-32.6377,151.093
ds31,100,1,S0299,1,2321,NSW,-32.7908,151.5154
ds31,100,1,S0316,1,2323,NSW,-32.8305,151.5312
ds31,100,1,S0321,1,2322,NSW,-32.7931,151.6769
ds31,100,1,S0334,1,2008,NSW,-33.8867,151.1975
ds31,100,1,S0335,1,2760,NSW,-33.7328,150.791
ds31,100,1,S0337,1,2227,NSW,-34.0521,151.088
ds31,100,1,S0345,1,2321,NSW,-32.7908,151.5154
ds31,100,1,S0347,1,2765,NSW,-33.5922,150.9198
ds31,100,1,S0349,1,2048,NSW,-33.8941,151.1642
ds31,100,1,S0350,1,2261,NSW,-33.35,151.4333
ds31,100,1,S0366,1,2334,NSW,-32.6778,151.3892
ds31,100,1,S0367,1,2525,NSW,-34.4356,150.8583
ds31,100,1,S0374,1,2230,NSW,-34.0367,151.1592
ds31,100,1,S0380,1,2320,NSW,-32.7288,151.5345
ds31,100,1,S0393,1,2325,NSW,-32.8887,151.2832
ds31,100,1,S0405,1,2282,NSW,-32.9725,151.6527
ds31,100,1,S0406,1,2147,NSW,-33.7833,150.9333
ds31,100,1,S0413,1,2225,NSW,-34.0041,151.0759
ds31,100,1,S0417,1,2330,NSW,-32.6377,151.093
ds31,100,1,S0428,1,2179,NSW,-33.9698,150.7967
ds31,100,1,S0431,1,2284,NSW,-32.9806,151.6184
ds31,100,1,S0443,1,2120,NSW,-33.7118,151.0714
ds31,100,1,S0444,1,2295,NSW,-32.8643,151.8131
ds31,100,1,S0450,1,2265,NSW,-33.0667,151.4167
ds31,100,1,S0452,1,2765,NSW,-33.5922,150.9198
ds31,100,1,S0455,1,2566,NSW,-34.0224,150.8296
ds31,100,1,S0459,1,2753,NSW,-33.5996,150.7514
ds31,100,1,S0487,1,2116,NSW,-33.8145,151.0375
ds31,100,1,S0494,1,2280,NSW,-33.0493,151.6569
ds31,100,1,S0524,1,2324,NSW,-32.6478,151.7616
ds31,100,1,S0530,1,2125,NSW,-33.7457,151.0476
ds31,100,1,S0532,1,2045,NSW,-33.883,151.1439
ds31,100,1,S0533,1,2316,NSW,-32.7858,152.0896
ds31,100,1,S0538,1,2291,NSW,-32.9382,151.7591
ds31,100,1,S0544,1,2250,NSW,-33.20500000000001,151.1759
ds31,100,1,S0562,1,2155,NSW,-33.6999,150.9411
ds31,100,1,S0569,1,2110,NSW,-33.8343,151.1459
ds31,100,1,S0570,1,2285,NSW,-32.9547,151.6645
ds31,100,1,S0571,1,2100,NSW,-33.7666,151.2498
ds31,100,1,S0579,1,2291,NSW,-32.9382,151.7591
ds31,100,1,S0585,1,2097,NSW,-33.732,151.3012
ds31,100,1,S0588,1,2043,NSW,-33.9025,151.1858
ds31,100,1,S0596,1,2203,NSW,-33.9041,151.1394
ds31,100,1,S0598,1,2131,NSW,-33.8883,151.1227
ds31,100,1,S0600,1,2291,NSW,-32.9382,151.7591
ds31,100,1,W0001,1,2233,NSW,-34.0535,151.0356
ds31,100,1,W0008,1,2287,NSW,-32.8937,151.6901
ds31,100,1,W0011,1,2283,NSW,-33.0423,151.6116
ds31,100,1,W0018,1,2750,NSW,-33.77350000000001,150.6947
ds31,100,1,W0024,1,2137,NSW,-33.8569,151.0912
ds31,100,1,W0027,1,2008,NSW,-33.8867,151.1975
ds31,100,1,W0037,1,2282,NSW,-32.9725,151.6527
ds31,100,1,W0047,1,2765,NSW,-33.5922,150.9198
ds31,100,1,W0073,1,2420,NSW,-32.4043,151.7519
ds31,100,1,W0075,1,2304,NSW,-32.8979,151.7361
ds31,100,1,W0077,1,2148,NSW,-33.7482,150.8927
ds31,100,1,W0079,1,2285,NSW,-32.9547,151.6645
ds31,100,1,W0081,1,2101,NSW,-33.6846,151.2635
ds31,100,1,W0092,1,2148,NSW,-33.7482,150.8927
ds31,100,1,W0094,1,2113,NSW,-33.7956,151.126
ds31,100,1,W0097,1,2783,NSW,-33.7206,150.4297
ds31,100,1,W0114,1,2234,NSW,-34.0341,151.0119
ds31,100,1,W0118,1,2072,NSW,-33.7553,151.1512
ds31,100,1,W0124,1,2147,NSW,-33.7833,150.9333
ds31,100,1,W0142,1,2519,NSW,-34.3887,150.8938
ds31,100,1,W0155,1,2076,NSW,-33.7053,151.1228
ds31,100,1,W0175,1,2074,NSW,-33.7131,151.1464
ds31,100,1,W0182,1,2259,NSW,-33.2323,151.4367
ds31,100,1,W0183,1,2120,NSW,-33.7118,151.0714
ds31,100,1,W0195,1,2777,NSW,-33.6985,150.6346
ds31,100,1,W0198,1,2232,NSW,-34.0244,151.0386
ds31,100,1,W0199,1,2530,NSW,-34.543,150.793
ds31,100,1,W0207,1,2173,NSW,-33.9544,150.9445
ds31,100,1,W0221,1,2113,NSW,-33.7956,151.126
ds31,100,1,W0232,1,2166,NSW,-33.8866,150.948
ds31,100,1,W0250,1,2080,NSW,-33.642,151.1287
ds31,100,1,W0253,1,2213,NSW,-33.961,150.9882
ds31,100,1,W0263,1,2294,NSW,-32.915,151.7644
ds31,100,1,W0266,1,2530,NSW,-34.543,150.793
ds31,100,1,W0271,1,2280,NSW,-33.0493,151.6569
ds31,100,1,W0294,1,2112,NSW,-33.796,151.0974
ds31,100,1,W0302,1,2031,NSW,-33.9121,151.2588
ds31,100,1,W0319,1,2153,NSW,-33.7588,150.9929
ds31,100,1,W0324,1,2170,NSW,-33.9522,150.8995
ds31,100,1,W0336,1,2065,NSW,-33.8257,151.1931
ds31,100,1,W0345,1,2287,NSW,-32.8937,151.6901
ds32,100,2,S0120,1,2073,NSW,-33.7439,151.1419
ds32,100,2,S0170,1,2307,NSW,-32.8788,151.691
ds32,100,2,S0172,1,2070,NSW,-33.7833,151.1667
ds32,100,2,S0177,1,2121,NSW,-33.7594,151.0925
ds32,100,2,S0191,1,2577,NSW,-34.6504,150.6487
ds32,100,2,S0209,1,2151,NSW,-33.7722,151.0172
ds32,100,2,S0212,1,2106,NSW,-33.6564,151.314
ds32,100,2,S0216,1,2289,NSW,-32.9428,151.6958
ds32,100,2,S0217,1,2121,NSW,-33.7594,151.0925
ds32,100,2,S0244,1,2087,NSW,-33.7745,151.2203
ds32,100,2,S0247,1,2508,NSW,-34.2377,150.9195
ds32,100,2,S0256,1,2765,NSW,-33.5922,150.9198
ds32,100,2,S0259,1,2155,NSW,-33.6999,150.9411
ds32,100,2,S0273,1,2569,NSW,-34.185,150.7145
ds32,100,2,S0289,1,2756,NSW,-33.6586,150.8108
ds32,100,2,S0295,1,2330,NSW,-32.6377,151.093
ds32,100,2,S0299,1,2321,NSW,-32.7908,151.5154
ds32,100,2,S0310,1,2077,NSW,-33.7024,151.0993
ds32,100,2,S0318,1,2191,NSW,-33.9035,151.0847
ds32,100,2,S0320,1,2285,NSW,-32.9547,151.6645
ds32,100,2,S0321,1,2322,NSW,-32.7931,151.6769
ds32,100,2,S0334,1,2008,NSW,-33.8867,151.1975
ds32,100,2,S0335,1,2760,NSW,-33.7328,150.791
ds32,100,2,S0345,1,2321,NSW,-32.7908,151.5154
ds32,100,2,S0347,1,2765,NSW,-33.5922,150.9198
ds32,100,2,S0350,1,2261,NSW,-33.35,151.4333
ds32,100,2,S0366,1,2334,NSW,-32.6778,151.3892
ds32,100,2,S0374,1,2230,NSW,-34.0367,151.1592
ds32,100,2,S0380,1,2320,NSW,-32.7288,151.5345
ds32,100,2,S0396,1,2325,NSW,-32.8887,151.2832
ds32,100,2,S0403,1,2747,NSW,-33.7478,150.7221
ds32,100,2,S0405,1,2282,NSW,-32.9725,151.6527
ds32,100,2,S0406,1,2147,NSW,-33.7833,150.9333
ds32,100,2,S0410,1,2137,NSW,-33.8569,151.0912
ds32,100,2,S0417,1,2330,NSW,-32.6377,151.093
