encoded_month,filename,raw_file,parent_directory,size_gb
2021-07,edp_data_2021_0781620172.csv,edp_data_2021_0781620172.csv,ACAP EDP,2.981071929
2021-08,edp_data_2021_0866839036.csv,edp_data_2021_0866839036.csv,ACAP EDP,3.107706106
2021-09,edp_data_2021_099370549.csv,edp_data_2021_099370549.csv,ACAP EDP,3.162683672
2021-10,edp_data_2021_1099129706.csv,edp_data_2021_1099129706.csv,ACAP EDP,3.276756837
2021-11,edp_data_2021_1139305266.csv,edp_data_2021_1139305266.csv,ACAP EDP,3.159139217
2021-12,edp_data_2021_1254143330.csv,edp_data_2021_1254143330.csv,ACAP EDP,3.528182907
2022-01,edp_data_2022_0190743126.csv,edp_data_2022_0190743126.csv,ACAP EDP,3.699512779
2022-02,edp_data_2022_0259555274.csv,edp_data_2022_0259555274.csv,ACAP EDP,3.482934877
2022-03,edp_data_2022_0344159374.csv,edp_data_2022_0344159374.csv,ACAP EDP,3.989783917
2022-04,edp_data_2022_0420973605.csv,edp_data_2022_0420973605.csv,ACAP EDP,3.98222399
2022-05,edp_data_2022_052123510.csv,edp_data_2022_052123510.csv,ACAP EDP,4.190572896
2022-06,edp_data_2022_066013101.csv,edp_data_2022_066013101.csv,ACAP EDP,4.163806011
2022-07,edp_data_2022_0794016143.csv,edp_data_2022_0794016143.csv,ACAP EDP,4.408771501
2022-08,edp_data_2022_0844809223.csv,edp_data_2022_0844809223.csv,ACAP EDP,4.57542818
2022-09,edp_data_2022_0981232475.csv,edp_data_2022_0981232475.csv,ACAP EDP,4.485763686
2022-10,edp_data_2022_1037027765.csv,edp_data_2022_1037027765.csv,ACAP EDP,4.225163842
2022-11,edp_data_2022_1196198049.csv,edp_data_2022_1196198049.csv,ACAP EDP,4.46142737
2022-12,edp_data_2022_1264573314.csv,edp_data_2022_1264573314.csv,ACAP EDP,4.564209457
2023-01,edp_data_2023_011779088.csv,edp_data_2023_011779088.csv,ACAP EDP,4.57793211
2023-02,edp_data_2023_0224096722.csv,edp_data_2023_0224096722.csv,ACAP EDP,4.050894283
2023-03,edp_data_2023_0315610477.csv,edp_data_2023_0315610477.csv,ACAP EDP,4.385295255
2023-04,edp_data_2023_0453835631.csv,edp_data_2023_0453835631.csv,ACAP EDP,4.278047599
2023-05,edp_data_2023_0550459142.csv,edp_data_2023_0550459142.csv,ACAP EDP,4.338124248
2023-06,edp_data_2023_0625207918.csv,edp_data_2023_0625207918.csv,ACAP EDP,4.240983011
2023-07,edp_data_2023_0781207138.csv,edp_data_2023_0781207138.csv,ACAP EDP,4.330610434
2023-08,edp_data_2023_0812218624.csv,edp_data_2023_0812218624.csv,ACAP EDP,4.303544635
2023-09,edp_data_2023_0990213735.csv,edp_data_2023_0990213735.csv,ACAP EDP,4.097632333
2023-10,edp_data_2023_1074298888.csv,edp_data_2023_1074298888.csv,ACAP EDP,4.116649324
2023-11,edp_data_2023_111646381.csv,edp_data_2023_111646381.csv,ACAP EDP,4.03961633
2023-12,edp_data_2023_1287877347.csv,edp_data_2023_1287877347.csv,ACAP EDP,4.189426111
2024-01,edp_data_2024_0195791648.csv,edp_data_2024_0195791648.csv,ACAP EDP,4.092996253
2024-02,edp_data_2024_027505715.csv,edp_data_2024_027505715.csv,ACAP EDP,3.758482907
2024-03,edp_data_2024_0337803227.csv,edp_data_2024_0337803227.csv,ACAP EDP,4.358910557
2024-04,edp_data_2024_0427008789.csv,edp_data_2024_0427008789.csv,ACAP EDP,3.565572381
2024-05,edp_data_2024_059809026.csv,edp_data_2024_059809026.csv,ACAP EDP,3.616899699
2024-06,edp_data_2024_0611028272.csv,edp_data_2024_0611028272.csv,ACAP EDP,3.48687064
