experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev,dataset_id,aggregation_level_hh,sample_no,sample_label,filename,unique_households,total_household_weight,runtime_s
E00085_260525_ds25_fh1440_m1_naive_hp1,E00085,2026-05-25,ds25,aedp,30,140,1440,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,1.6513824462890625,1.23,0.0279404127862611,1.2098,0.2365073642264302,23.271556243889087,0.5286316159617512,22.88937296248538,4.474710917633605,ds25,1,1,1hh_sample01,ds25_aedp_1hh_sample01_30min_with_weather.csv,1,1,0.0016513824462890624
E00086_260525_ds25_fh1440_m6_lr_hp1,E00086,2026-05-25,ds25,aedp,30,140,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,709.0479850769043,1.0364,0.0333439982938792,1.0242,0.2644309613742939,19.608651131029795,0.6308672615383359,19.3778275650335,5.003024382315077,ds25,1,1,1hh_sample01,ds25_aedp_1hh_sample01_30min_with_weather.csv,1,1,0.7090479850769043
E00087_260525_ds25_fh1440_m17_xgb_hp1,E00087,2026-05-25,ds25,aedp,30,140,1440,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,30423.9205121994,0.4614999999999999,0.008249579113843,1.0416,0.2979314611711149,8.73156358256489,0.1560817433627732,19.707034946044608,5.636852646721674,ds25,1,1,1hh_sample01,ds25_aedp_1hh_sample01_30min_with_weather.csv,1,1,30.4239205121994
E00088_260525_ds26_fh1440_m1_naive_hp1,E00088,2026-05-25,ds26,aedp,30,140,1440,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,1.9336462020874023,2.1221,0.0129138168899309,2.1193,0.1166838558765617,25.456524823644504,0.1549130108036972,25.422936270086137,1.3997292651808348,ds26,1,2,1hh_sample02,ds26_aedp_1hh_sample02_30min_with_weather.csv,1,1,0.0019336462020874024
E00089_260525_ds26_fh1440_m6_lr_hp1,E00089,2026-05-25,ds26,aedp,30,140,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,1009.2128992080688,1.7121,0.0133454111963626,1.7140999999999995,0.1193626127953528,20.53820090974117,0.1600903781169352,20.562192733711434,1.431863397408213,ds26,1,2,1hh_sample02,ds26_aedp_1hh_sample02_30min_with_weather.csv,1,1,1.009212899208069
E00090_260525_ds26_fh1440_m17_xgb_hp1,E00090,2026-05-25,ds26,aedp,30,140,1440,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,30795.95320224762,0.8160999999999999,0.0115609495957535,1.5898,0.1006509921571676,9.789863771064642,0.1386841338151847,19.07110087395977,1.207400443133401,ds26,1,2,1hh_sample02,ds26_aedp_1hh_sample02_30min_with_weather.csv,1,1,30.79595320224762
E00091_260525_ds27_fh1440_m1_naive_hp1,E00091,2026-05-25,ds27,aedp,30,140,1440,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,1.391911506652832,1.2577,0.0296312522703835,1.234,0.257232709169473,13.889972422822025,0.3272459862362321,13.62823087362835,2.840864464190012,ds27,1,3,1hh_sample03,ds27_aedp_1hh_sample03_30min_with_weather.csv,1,1,0.0013919115066528321
E00092_260525_ds27_fh1440_m6_lr_hp1,E00092,2026-05-25,ds27,aedp,30,140,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,733.0720663070679,1.0053999999999996,0.0274517758988375,0.9895,0.2240864168623841,11.103584538367864,0.3031759642143151,10.927985777516414,2.474798561300403,ds27,1,3,1hh_sample03,ds27_aedp_1hh_sample03_30min_with_weather.csv,1,1,0.7330720663070679
E00093_260525_ds27_fh1440_m17_xgb_hp1,E00093,2026-05-25,ds27,aedp,30,140,1440,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,29482.06729888916,0.5588,0.0193436753947582,0.9414,0.237105789797625,6.171357708414524,0.2136305301655507,10.396771916072716,2.618583828878467,ds27,1,3,1hh_sample03,ds27_aedp_1hh_sample03_30min_with_weather.csv,1,1,29.48206729888916
E00094_260525_ds28_fh1440_m1_naive_hp1,E00094,2026-05-25,ds28,aedp,30,140,1440,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,0.0,5.0585,0.0799947914971136,5.0134,0.7135073308040435,15.238295400084436,0.2409774168827082,15.102435535985627,2.149379356907735,ds28,10,1,10hh_sample01,ds28_aedp_10hh_sample01_30min_with_weather.csv,10,10,0.0
