site_id,formula_profile,selected_overlap_start,selected_overlap_end,selected_overlap_days,selected_overlap_expected_timestamps,negative_load_tolerance_kW,first_observed_date,selection_rank,is_selected_sample,state,postcode,latitude,longitude,dc_capacity_kw,ac_capacity_kw,monitoring_start,selected_overlap_observed_timestamps_pre_fill,selected_overlap_missingness_pct_pre_fill,selected_overlap_observed_timestamps_post_fill,selected_overlap_missingness_pct_post_fill,meaningful_negative_underlying_load_count_pre_fill,meaningful_negative_underlying_load_pct_pre_fill,meaningful_negative_underlying_load_count_post_fill,meaningful_negative_underlying_load_pct_post_fill,min_underlying_load_kW_pre_fill,min_underlying_load_kW_post_fill
1995273389,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,1,1,SA,5090,-34.83,138.7,5.04,5.0,2020-04-20,105109,0.0104642313546423,105120,0.0,0,0.0,0,0.0,0.0070100000000001,0.0070100000000001
245185730,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-26,2,1,VIC,3453,-36.9,144.2,11.84,8.2,2022-03-24,105105,0.014269406392694,105120,0.0,0,0.0,0,0.0,0.07834,0.07834
905921552,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,3,1,NSW,2167,-33.975,150.9,13.26,10.0,2022-09-20,105102,0.0171232876712328,105120,0.0,0,0.0,0,0.0,0.1487732999999997,0.1487732999999997
1805446999,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,4,1,VIC,3040,-37.755,144.9,13.3,10.0,2021-12-09,105097,0.0218797564687975,105120,0.0,0,0.0,0,0.0,0.1687066999999997,0.1687066999999997
1284666164,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,5,1,VIC,3072,-37.755,145.0,5.12,6.0,2023-02-12,105095,0.0237823439878234,105120,0.0,0,0.0,0,0.0,0.20911,0.20911
1130090932,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,6,1,NSW,2758,-33.57,150.65,5.13,5.0,2021-06-18,105084,0.0342465753424657,105120,0.0,0,0.0,0,0.0,0.0333366000000001,0.0333366000000001
1429376445,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,7,1,NSW,2485,-28.17,153.5,13.07,10.0,2020-07-28,105084,0.0342465753424657,105120,0.0,0,0.0,0,0.0,0.2671801,0.2671801
1113741916,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,8,1,TAS,7325,-40.995,145.75,10.4,9.99,2022-03-21,105082,0.0361491628614916,105120,0.0,0,0.0,0,0.0,-0.0098433999999997,-0.0098433999999997
2140545194,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,9,1,SA,5116,-34.65,138.75,4.94,5.2,2017-05-19,105067,0.0504185692541856,105120,0.0,0,0.0,0,0.0,0.0200166999999993,0.0200166999999993
1200712260,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,10,1,SA,5153,-35.1,138.8,6.13,6.0,2018-11-08,105044,0.0722983257229832,105120,0.0,0,0.0,0,0.0,0.0190166999999996,0.0190166999999996
907278833,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,11,1,NSW,2281,-33.12,151.65,6.63,4.99,2022-05-14,105042,0.0742009132420091,105120,0.0,0,0.0,0,0.0,0.0280633000000003,0.0280633000000003
2128280727,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-02-02,12,1,SA,5086,-34.875,138.6,6.6,5.0,2020-06-06,105042,0.0742009132420091,105120,0.0,0,0.0,0,0.0,-0.0069233999999998,-0.0069233999999998
1765649242,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,13,1,NSW,2577,-34.56,150.4,19.88,10.0,2019-12-12,105039,0.0770547945205479,105120,0.0,0,0.0,0,0.0,0.1228100000000004,0.1228100000000004
558190698,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,14,1,SA,5155,-35.01,138.75,6.6,5.0,2020-07-07,105036,0.0799086757990867,105120,0.0,0,0.0,0,0.0,0.0310165999999996,0.0310165999999996
895833984,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,15,1,SA,5024,-34.92,138.5,12.6,10.0,2023-08-03,105029,0.0865677321156773,105120,0.0,0,0.0,0,0.0,0.0255465999999993,0.0255465999999993
1519441756,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,16,1,VIC,3163,-37.89,145.05,25.0,30.0,2023-09-04,104997,0.1170091324200913,105120,0.0,0,0.0,0,0.0,2.134350199999999,2.134350199999999
1074299966,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,17,1,ACT,2602,-35.235,149.1,17.63,10.75,2021-05-04,104992,0.121765601217656,105120,0.0,0,0.0,0,0.0,0.1591733999999999,0.1591733999999999
250902122,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,18,1,NSW,2073,-33.75,151.15,9.94,10.0,2018-05-09,104970,0.1426940639269406,105120,0.0,0,0.0,0,0.0,0.0590533000000004,0.0590533000000004
1788477761,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,19,1,NSW,2168,-33.885,150.9,5.28,4.0,2020-02-21,104958,0.1541095890410959,105120,0.0,0,0.0,0,0.0,0.1097867,0.1097867
1582218122,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-02,20,1,VIC,3109,-37.8,145.15,9.99,8.2,2022-05-03,104956,0.1560121765601217,105120,0.0,0,0.0,0,0.0,0.0471132999999995,0.0471132999999995
1089466084,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,21,1,WA,6007,-31.95,115.85,6.65,5.0,2020-11-20,104955,0.1569634703196347,105120,0.0,0,0.0,0,0.0,0.0014633,0.0014633
124653712,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,22,1,NSW,2300,-32.94,151.75,19.8,15.0,2021-06-24,104950,0.1617199391171994,105120,0.0,0,0.0,0,0.0,0.7179501,0.7179501
30236046,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,23,1,SA,5107,-34.785,138.6,6.62,5.0,2019-02-14,104924,0.1864535768645357,105120,0.0,0,0.0,0,0.0,0.1591833000000004,0.1591833000000004
899260705,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,24,1,SA,5170,-35.235,138.5,6.49,5.0,2020-03-10,104879,0.2292617960426179,105120,0.0,0,0.0,0,0.0,0.0716767,0.0716767
829883455,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,25,1,NSW,2570,-34.065,150.55,8.91,8.2,2018-08-02,104876,0.2321156773211567,105120,0.0,0,0.0,0,0.0,0.20277,0.20277
1313421400,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,26,1,VIC,3550,-36.765,144.3,7.4,5.0,2021-05-17,104866,0.2416286149162861,105120,0.0,0,0.0,0,0.0,0.0186567,0.0186567
628697925,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,27,1,SA,5066,-34.92,138.65,6.65,10.0,2020-11-13,104823,0.2825342465753425,105120,0.0,0,0.0,0,0.0,0.0136365999999999,0.0136365999999999
2026169230,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,28,1,NSW,2068,-33.795,151.2,13.3,10.0,2019-11-13,104797,0.3072678843226788,105120,0.0,0,0.0,0,0.0,0.2387700999999999,0.2387700999999999
2091491632,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,29,1,NSW,2760,-33.795,150.8,11.08,8.5,2020-11-18,104785,0.3186834094368341,105120,0.0,0,0.0,0,0.0,0.0387365999999999,0.0387365999999999
935185406,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,30,1,QLD,4814,-19.305,146.75,16.59,12.19,2022-10-21,104747,0.3548325722983257,105120,0.0,0,0.0,0,0.0,-0.0288500000000005,-0.0288500000000005
1059848574,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,31,1,WA,6111,-32.13,116.05,10.15,5.0,2020-10-01,104730,0.3710045662100457,105120,0.0,0,0.0,0,0.0,0.0271600999999999,0.0271600999999999
1690066375,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-02-09,32,1,QLD,4500,-27.315,152.95,7.62,6.99,2022-07-01,104714,0.3862252663622527,105120,0.0,0,0.0,0,0.0,-0.0214832999999994,-0.0214832999999994
52185161,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,33,1,SA,5271,-36.945,140.75,8.47,7.9,2018-09-06,104123,0.9484398782343988,105120,0.0,0,0.0,0,0.0,0.0814468000000001,0.0814468000000001
431561381,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,34,1,SA,5108,-34.74,138.6,6.3,5.0,2019-12-12,103793,1.262366818873668,105120,0.0,0,0.0,0,0.0,0.0650933,0.0650933
1462869707,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,35,1,ACT,2615,-35.235,149.05,7.28,6.6,2016-12-13,103507,1.5344368340943684,105120,0.0,0,0.0,0,0.0,0.1047432999999999,0.1047432999999999
1599728001,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,36,1,QLD,4017,-27.315,153.05,11.84,10.0,2015-08-21,103439,1.599124809741248,105120,0.0,0,0.0,0,0.0,0.4288166999999999,0.4288166999999999
1026492009,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,37,1,NSW,2800,-33.12,149.2,6.24,4.6,2020-09-01,103392,1.643835616438356,105120,0.0,0,0.0,0,0.0,0.2880533,0.2880533
104607127,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,38,1,NSW,2040,-33.885,151.15,6.66,5.0,2022-06-11,103104,1.917808219178082,105120,0.0,0,0.0,0,0.0,-0.0350733999999999,-0.0350733999999999
924786423,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,39,1,ACT,2900,-35.415,149.05,6.6,4.99,2021-06-06,102657,2.343036529680365,105120,0.0,0,0.0,0,0.0,0.1579333000000005,0.1579333000000005
1377954112,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,40,1,NSW,2176,-33.885,150.85,6.6,5.0,2019-11-26,102283,2.698820395738204,105120,0.0,0,0.0,0,0.0,0.1975533999999999,0.1975533999999999
182060662,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,41,1,VIC,3145,-37.89,145.05,6.6,5.0,2023-12-07,102236,2.743531202435312,105120,0.0,0,0.0,0,0.0,0.1563233999999999,0.1563233999999999
1839862920,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,42,1,SA,5089,-34.875,138.7,11.24,10.62,2018-04-18,101730,3.2248858447488584,105120,0.0,0,0.0,0,0.0,-0.0157583999999999,-0.0157583999999999
1035799358,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,43,1,WA,6038,-31.635,115.7,6.48,5.0,2022-07-14,100771,4.137176560121766,105120,0.0,0,0.0,0,0.0,0.1494767,0.1494767
1301976695,current_polarity_adjusted,2024-02-26,2025-02-24 23:55:00,365,105120,-0.05,2024-01-01,44,1,SA,5089,-34.875,138.7,8.96,8.0,2022-02-10,100446,4.44634703196347,105120,0.0,0,0.0,0,0.0,0.0956166,0.0956166
