experiment_no,exp_date,dataset_no,dataset_label,forecast_horizon_min,horizon_label,model_no,hyperparameter_no,model_name,test_RMSE,test_RMSE_stddev,test_nRMSE,test_nRMSE_stddev,result_source
E00252,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m1,hp1,m1_naive_hp1,67.2124,9.26323108016012,24.29791264487488,3.348744868432324,ch5_data_xlsx_3.3.1_dataset
E00253,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m2,hp2,m2_snaive_hp2,83.0592,12.044572911574,30.02667939179663,4.354226012614508,ch5_data_xlsx_3.3.1_dataset
E00254,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m3,hp1,m3_ets_hp1,66.89722222222223,9.768205781741315,24.18397292375125,3.531297956655503,ch5_data_xlsx_3.3.1_dataset
E00255,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m4,hp1,m4_arima_hp1,102.4071111111111,11.38564841636659,37.02113062458376,4.116018630879622,ch5_data_xlsx_3.3.1_dataset
E00256,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m6,hp1,m6_lr_hp1,57.9539,7.774553884307448,20.95087810626929,2.810574107363746,ch5_data_xlsx_3.3.1_dataset
E00257,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m7,hp1,m7_ann_hp1,56.3744,6.895516662618142,20.37987405013412,2.492793911682588,ch5_data_xlsx_3.3.1_dataset
E00258,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m8,hp1,m8_dnn_hp1,56.4515,6.728315907004102,20.40774642286474,2.432349271198585,ch5_data_xlsx_3.3.1_dataset
E00259,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m9,hp3,m9_rt_hp3,72.80900000000001,7.404831005649097,26.32113600705667,2.676915820969388,ch5_data_xlsx_3.3.1_dataset
E00260,2025-06-25,ds11,AEDP_148hh_weather,1440,1_day,m10,hp1,m10_rf_hp1,60.5591,7.242960957601064,21.89268232725275,2.618398281240218,ch5_data_xlsx_3.3.1_dataset
E00261,2025-06-26,ds11,AEDP_148hh_weather,1440,1_day,m13,hp2,m13_lstm_hp2,71.6874,8.407478816175777,25.91566709324773,3.039382403233259,ch5_data_xlsx_3.3.1_dataset
E00262,2025-06-26,ds11,AEDP_148hh_weather,1440,1_day,m16,hp1,m16_prophet_hp1,92.473,8.741746321530956,33.42985633617479,3.16022323982205,ch5_data_xlsx_3.3.1_dataset
E00263,2025-06-26,ds11,AEDP_148hh_weather,1440,1_day,m17,hp1,m17_xgb_hp1,49.1725,6.678267593886575,17.77631968996956,2.414256336856812,ch5_data_xlsx_3.3.1_dataset
E00039,2026-05-15,ds20,ASHD_148hh_weather,30,30_min,m1,hp1,m1_naive_hp1,15.8506,2.0183245086512285,4.224911373510676,0.5379759865264356,publication_journal_article_1_experiment_result
E00040,2026-05-15,ds20,ASHD_148hh_weather,30,30_min,m2,hp2,m2_snaive_hp2,41.067,3.645804895127183,10.946237705573472,0.9717741011080796,publication_journal_article_1_experiment_result
E00041,2026-05-15,ds20,ASHD_148hh_weather,30,30_min,m3,hp1,m3_ets_hp1,15.556666666666665,1.8984942059432257,4.146564668461408,0.5060357187257044,publication_journal_article_1_experiment_result
E00042,2026-05-15,ds20,ASHD_148hh_weather,30,30_min,m4,hp1,m4_arima_hp1,13.345222222222224,1.2763581763926783,3.5571133678658264,0.3402079527661269,publication_journal_article_1_experiment_result
E00043,2026-05-15,ds20,ASHD_148hh_weather,30,30_min,m6,hp1,m6_lr_hp1,9.9688,0.6778499997951037,2.657142095583336,0.180678092543408,publication_journal_article_1_experiment_result
